jenis_transaksi,tujuan_penyaluran,alamat_tujuan,nama_kota_kab_tujuan,nama_provinsi_tujuan,nama_zat_aktif,nama_obat_jadi,produsen_obat_jadi,nama_pbf,provinsi,kabupaten_kota,no_faktur,tanggal_penyaluran,batch,jumlah,satuan,tanggal_kedaluwarsa,keterangan,status_validasi
Dalam Negeri,RS INS FARM RSUD DR SOEDOMO TRENGGALEK,"DR. SUTOMO NO. 2, JL",,,KETAMINE HYDROCHLORIDE,KETANAEST,BERNOFARM,PARIT PADANG GLOBAL CABANG MALANG,Jawa Timur,Kab. Malang,8320653335,2024-11-28,PIH05152,36,"DUS, 1 VIAL @ 10 ML",2025-07-31 00:00:00,-,VALID
Dalam Negeri,APOTEK K24 KEFAMENANU TIMOR TENGAH UTARA,ELTARI KEFAMENANU SELATAN KOTA KEFAMENANU KAB TIMOR TENGAH UTARA NUSA TENGGARA,,,"KETAMINE HYDROCHLORIDE, Propilena glikol (propana-1,2- diol)",IVANES,IKAPHARMINDO PUTRAMAS TBK,KARYA DWI ELANG,Jawa Timur,Kota Surabaya,DO-41001/2401/18814,2024-01-08,66014006,1,"DUS,1 VIAL 10 ML",2026-02-01 00:00:00,"Delivery Order To Apotek K-24 Kefamenanu, Timor Tengah Utara (CV. KEFAMENANU TIMOR)",VALID
Dalam Negeri,APOTEK K24 KEFAMENANU TIMOR TENGAH UTARA,ELTARI KEFAMENANU SELATAN KOTA KEFAMENANU KAB TIMOR TENGAH UTARA NUSA TENGGARA,,,"KETAMINE HYDROCHLORIDE, Propilena glikol (propana-1,2- diol)",IVANES,IKAPHARMINDO PUTRAMAS TBK,KARYA DWI ELANG,Jawa Timur,Kota Surabaya,DO-41001/2401/19415,2024-01-08,66014006,3,"DUS,1 VIAL 10 ML",2026-02-01 00:00:00,"Delivery Order To Apotek K-24 Kefamenanu, Timor Tengah Utara (CV. KEFAMENANU TIMOR)",VALID
Dalam Negeri,RS ONKOLOGI SURABAYA,"GALAXY BUMI PERMAI BLOK A-2/7 KEPUTIH SUKOLILO,SURABAYA",,,KETAMINE HYDROCHLORIDE,KTM 100 mg Injeksi (Bernofarm),GUARDIAN PHARMATAMA,MILLENNIUM PHARMACON INTERNATIONAL TBK CABANG SURABAYA,Jawa Timur,Kota Surabaya,310524002023,2024-12-28,2401023,2,Dus 1 Vial @ 10 ml,2026-02-28 00:00:00,,VALID
Dalam Negeri,APOTEK K24 GALUNGGUNG MALANG,"GALUNGGUNG NO.32 B GADING KASRI KLOJEN, KOTA MALANG JAWA TIMUR",,,"KETAMINE HYDROCHLORIDE, Propilena glikol (propana-1,2- diol)",IVANES,IKAPHARMINDO PUTRAMAS TBK,KARYA DWI ELANG,Jawa Timur,Kota Surabaya,DO-41001/2401/25931,2024-01-23,66014006,1,"DUS,1 VIAL 10 ML",2026-02-01 00:00:00,"Delivery Order To Apotek K-24 Galunggung, Malang (CV. Galunggung Mapan)",VALID
Dalam Negeri,APOTEK K24 GALUNGGUNG MALANG,"GALUNGGUNG NO.32 B GADING KASRI KLOJEN, KOTA MALANG JAWA TIMUR",,,"KETAMINE HYDROCHLORIDE, Propilena glikol (propana-1,2- diol)",IVANES,IKAPHARMINDO PUTRAMAS TBK,KARYA DWI ELANG,Jawa Timur,Kota Surabaya,DO-41001/2402/34720,2024-02-12,66014006,1,"DUS,1 VIAL 10 ML",2026-02-01 00:00:00,"Delivery Order To Apotek K-24 Galunggung, Malang (CV. Galunggung Mapan)",VALID
Dalam Negeri,INS FAR KLINIK INAP ROMO WIJOYO TGL,Gg.Al-Ashar No.14 RT.19 RW.09 TGL,,,KETAMINE HYDROCHLORIDE,KTM 100 mg Injeksi (Bernofarm),GUARDIAN PHARMATAMA,KALLISTA PRIMA CABANG KEDIRI,Jawa Timur,Kab. Kediri,19101,2024-08-13,2309118,2,Dus 1 Vial @ 10 ml,2025-11-01 00:00:00,,VALID
Dalam Negeri,RS GRAHA MEDIKA SURABAYA IF RSIA,GRAHA SAMPURNA INDAH E-3-6-8-10-12-14-16-18,,,KETAMINE HYDROCHLORIDE,KETAMINE HYDROCHLORIDE,BERNOFARM,TRI SAPTA JAYA CABANG SURABAYA,Jawa Timur,Kota Surabaya,12404030810,2024-08-29,PIH45453,1,"DUS, 10 VIAL @ 10 ML",0000-00-00,,VALID
Dalam Negeri,RS RSIA GRAHA MEDIKA SURABAYA,"GRAHA SAMPURNA INDAH E.3, 6, 8, 10, 12, 14, 16, 18, 20, 22",,,KETAMINE HYDROCHLORIDE,KETAMINE HYDROCHLORIDE,BERNOFARM,PARIT PADANG GLOBAL CABANG SURABAYA,Jawa Timur,Kota Surabaya,8340913688,2024-05-08,PID50153,1,"DUS, 10 VIAL @ 10 ML",2026-03-31 00:00:00,,VALID
Dalam Negeri,GUDANG UTAMA PUSAT,JAKARTA TIMUR,,,"KETAMINE HYDROCHLORIDE, Propilena glikol (propana-1,2- diol)",KETAMINE HYDROCHLORIDE,IKAPHARMINDO PUTRAMAS TBK,DISTRIVERSA BUANAMAS CABANG MALANG,Jawa Timur,Kab. Malang,NDA-IC-24000288,2024-09-10,H23007E,120,"DUS, 1 VIAL @ 10 ML",2025-08-14 00:00:00,,FIXED_TYPO
