jenis_transaksi,tujuan_penyaluran,alamat_tujuan,nama_kota_kab_tujuan,nama_provinsi_tujuan,nama_zat_aktif,nama_obat_jadi,produsen_obat_jadi,nama_pbf,provinsi,kabupaten_kota,no_faktur,tanggal_penyaluran,batch,jumlah,satuan,tanggal_kedaluwarsa,keterangan,status_validasi
Dalam Negeri,RS ISLAM JEMURSARI,JL. JEMURSARI NO.51-57 JEMURSARI - JEMUR WONOSARI,,,KETAMINE HYDROCHLORIDE,KEMIDEX,DEXA MEDICA,ANUGRAH ARGON MEDICA CABANG SURABAYA,Jawa Timur,Kota Surabaya,49240146581,2024-08-06,4821405,10,"DUS, 1 VIAL @ 10 ML",2024-09-30 00:00:00,,VALID
Dalam Negeri,RS ISLAM JEMURSARI,JL. JEMURSARI NO.51-57 JEMURSARI - JEMUR WONOSARI,,,KETAMINE HYDROCHLORIDE,KEMIDEX,DEXA MEDICA,ANUGRAH ARGON MEDICA CABANG SURABAYA,Jawa Timur,Kota Surabaya,49240150951,2024-08-13,4821405,10,"DUS, 1 VIAL @ 10 ML",2024-09-30 00:00:00,,VALID
Dalam Negeri,RS ISLAM JEMURSARI,JL. JEMURSARI NO.51-57 JEMURSARI - JEMUR WONOSARI,,,KETAMINE HYDROCHLORIDE,KEMIDEX,DEXA MEDICA,ANUGRAH ARGON MEDICA CABANG SURABAYA,Jawa Timur,Kota Surabaya,49240166928,2024-09-03,4641075,10,"DUS, 1 VIAL @ 10 ML",2026-05-31 00:00:00,,VALID
Dalam Negeri,RS ISLAM JEMURSARI,JL. JEMURSARI NO.51-57 JEMURSARI - JEMUR WONOSARI,,,KETAMINE HYDROCHLORIDE,KEMIDEX,DEXA MEDICA,ANUGRAH ARGON MEDICA CABANG SURABAYA,Jawa Timur,Kota Surabaya,49240171250,2024-09-10,4641075,10,"DUS, 1 VIAL @ 10 ML",2026-05-31 00:00:00,,VALID
Dalam Negeri,RS ISLAM JEMURSARI,JL. JEMURSARI NO.51-57 JEMURSARI - JEMUR WONOSARI,,,KETAMINE HYDROCHLORIDE,KEMIDEX,DEXA MEDICA,ANUGRAH ARGON MEDICA CABANG SURABAYA,Jawa Timur,Kota Surabaya,49240175874,2024-09-17,4641075,10,"DUS, 1 VIAL @ 10 ML",2026-05-31 00:00:00,,VALID
Dalam Negeri,RS ISLAM JEMURSARI,JL. JEMURSARI NO.51-57 JEMURSARI - JEMUR WONOSARI,,,KETAMINE HYDROCHLORIDE,KEMIDEX,DEXA MEDICA,ANUGRAH ARGON MEDICA CABANG SURABAYA,Jawa Timur,Kota Surabaya,49240181048,2024-09-24,4641075,5,"DUS, 1 VIAL @ 10 ML",2026-05-31 00:00:00,,VALID
Dalam Negeri,RS ISLAM JEMURSARI,JL. JEMURSARI NO.51-57 JEMURSARI - JEMUR WONOSARI,,,KETAMINE HYDROCHLORIDE,KEMIDEX,DEXA MEDICA,ANUGRAH ARGON MEDICA CABANG SURABAYA,Jawa Timur,Kota Surabaya,49240192352,2024-10-08,4641075,16,"DUS, 1 VIAL @ 10 ML",2026-05-31 00:00:00,,VALID
Dalam Negeri,RS ISLAM AHMAD YANI,"Jl. JEND AHMAD YANI NO.2-4 KEL. WONOKROMO KEC. WONOKROMO, SURABAYA (KOTA) 60243, JAWA TIMUR",,,KETAMINE HYDROCHLORIDE,KETAMINE HYDROCHLORIDE,BERNOFARM,ADYA ARTHA ABADI CABANG SIDOARJO,Jawa Timur,Kab. Sidoarjo,IVC/SBY/240800241,2024-08-07,PID50553,1,"DUS, 10 VIAL @ 10 ML",2026-03-31 00:00:00,,VALID
Dalam Negeri,RS ISLAM AHMAD YANI,"Jl. JEND AHMAD YANI NO.2-4 KEL. WONOKROMO KEC. WONOKROMO, SURABAYA (KOTA) 60243, JAWA TIMUR",,,KETAMINE HYDROCHLORIDE,KETAMINE HYDROCHLORIDE,BERNOFARM,ADYA ARTHA ABADI CABANG SIDOARJO,Jawa Timur,Kab. Sidoarjo,IVC/SBY/241000489,2024-10-17,PID50653,1,"DUS, 10 VIAL @ 10 ML",2026-03-31 00:00:00,,VALID
Dalam Negeri,RS ISLAM AHMAD YANI,"Jl. JEND AHMAD YANI NO.2-4 KEL. WONOKROMO KEC. WONOKROMO, SURABAYA (KOTA) 60243, JAWA TIMUR",,,KETAMINE HYDROCHLORIDE,KETAMINE HYDROCHLORIDE,BERNOFARM,ADYA ARTHA ABADI CABANG SIDOARJO,Jawa Timur,Kab. Sidoarjo,IVC/SBY/241100431,2024-11-11,PID50653,1,"DUS, 10 VIAL @ 10 ML",2026-03-31 00:00:00,,VALID
Dalam Negeri,RS ISLAM AHMAD YANI,"Jl. JEND AHMAD YANI NO.2-4 KEL. WONOKROMO KEC. WONOKROMO, SURABAYA (KOTA) 60243, JAWA TIMUR",,,KETAMINE HYDROCHLORIDE,KETAMINE HYDROCHLORIDE,BERNOFARM,ADYA ARTHA ABADI CABANG SIDOARJO,Jawa Timur,Kab. Sidoarjo,IVC/SBY/241101564,2024-11-29,PIH45153,1,"DUS, 10 VIAL @ 10 ML",2026-07-31 00:00:00,,VALID
Dalam Negeri,RS BHAYANGKARA BDW,Jl. Jend Pol S Yudodiharjo 12 Bondowoso,,,KETAMINE HYDROCHLORIDE,KTM 100 mg Injeksi (Bernofarm),GUARDIAN PHARMATAMA,KALLISTA PRIMA CABANG SURABAYA,Jawa Timur,Kota Surabaya,31072,2024-06-26,2309118,10,Dus 1 Vial @ 10 ml,2025-11-01 00:00:00,KTM 100mg Injeksi 1vial/10ml,VALID
Dalam Negeri,RS BHAYANGKARA BDW,Jl. Jend Pol S Yudodiharjo 12 Bondowoso,,,KETAMINE HYDROCHLORIDE,KTM 100 mg Injeksi (Bernofarm),GUARDIAN PHARMATAMA,KALLISTA PRIMA CABANG SURABAYA,Jawa Timur,Kota Surabaya,16151,2024-04-02,2309012,10,Dus 1 Vial @ 10 ml,2025-09-01 00:00:00,KTM 100mg Injeksi 1vial/10ml,VALID
Dalam Negeri,RS BHAYANGKARA BDW,Jl. Jend Pol S Yudodiharjo 12 Bondowoso,,,KETAMINE HYDROCHLORIDE,KTM 100 mg Injeksi (Bernofarm),GUARDIAN PHARMATAMA,KALLISTA PRIMA CABANG SURABAYA,Jawa Timur,Kota Surabaya,26353,2024-05-30,2309013,14,Dus 1 Vial @ 10 ml,2025-09-01 00:00:00,KTM 100mg Injeksi 1vial/10ml,VALID
Dalam Negeri,RS BHAYANGKARA BONDOWOSO,JL. JEND SUCIPTO JUDODIHARJO 12,,,KETAMINE HYDROCHLORIDE,KTM 100 mg Injeksi (Bernofarm),GUARDIAN PHARMATAMA,MILLENNIUM PHARMACON INTERNATIONAL TBK CABANG JEMBER,Jawa Timur,Kab. Jember,132324018302,2024-10-21,2401027,10,Dus 1 Vial @ 10 ml,2026-02-28 00:00:00,,VALID
Dalam Negeri,RS BUDI RAHAYU,JL. JEND. A.YANI 18 BLT,,,KETAMINE HYDROCHLORIDE,KETAMINE HYDROCHLORIDE,BERNOFARM,TRI SAPTA JAYA CABANG SURABAYA,Jawa Timur,Kota Surabaya,12404035265,2024-09-30,PIH45453,2,"DUS, 10 VIAL @ 10 ML",2026-07-01 00:00:00,,VALID
Dalam Negeri,RS ISLAM 1 A YANI,JL. JEND. A.YANI NO. 2-4,,,KETAMINE HYDROCHLORIDE,KTM 100 mg Injeksi (Bernofarm),GUARDIAN PHARMATAMA,MILLENNIUM PHARMACON INTERNATIONAL TBK CABANG SURABAYA,Jawa Timur,Kota Surabaya,310524001183,2024-08-03,2309118,5,Dus 1 Vial @ 10 ml,2025-11-30 00:00:00,,VALID
Dalam Negeri,RS ISLAM SURABAYA A YANI,"JL. JEND. AHMAD YANI NO 2-4, WONOKROMO",,,KETAMINE HYDROCHLORIDE,KETAMINE HYDROCHLORIDE,BERNOFARM,TRI SAPTA JAYA CABANG SURABAYA,Jawa Timur,Kota Surabaya,12404030307,2024-08-26,PIH45453,1,"DUS, 10 VIAL @ 10 ML",0000-00-00,,VALID
Dalam Negeri,RS ISLAM SURABAYA A YANI,"JL. JEND. AHMAD YANI NO 2-4, WONOKROMO",,,KETAMINE HYDROCHLORIDE,KETAMINE HYDROCHLORIDE,BERNOFARM,TRI SAPTA JAYA CABANG SURABAYA,Jawa Timur,Kota Surabaya,12404033133,2024-09-17,PIH45453,1,"DUS, 10 VIAL @ 10 ML",2026-07-01 00:00:00,,VALID
Dalam Negeri,RS ISLAM SURABAYA A YANI,"JL. JEND. AHMAD YANI NO 2-4, WONOKROMO",,,KETAMINE HYDROCHLORIDE,KETAMINE HYDROCHLORIDE,BERNOFARM,TRI SAPTA JAYA CABANG SURABAYA,Jawa Timur,Kota Surabaya,12404002195,2024-01-20,PIK62752,1,"DUS, 10 VIAL @ 10 ML",0000-00-00,,VALID
Dalam Negeri,RS ISLAM SURABAYA A YANI,"JL. JEND. AHMAD YANI NO 2-4, WONOKROMO",,,KETAMINE HYDROCHLORIDE,KETAMINE HYDROCHLORIDE,BERNOFARM,TRI SAPTA JAYA CABANG SURABAYA,Jawa Timur,Kota Surabaya,12404021845,2024-06-18,PID50553,3,"DUS, 10 VIAL @ 10 ML",0000-00-00,,VALID
Dalam Negeri,RS ISLAM SURABAYA,JL. JEND.AHMAD YANI NO.2-4,,,KETAMINE HYDROCHLORIDE,KETAMINE HYDROCHLORIDE,BERNOFARM,PARIT PADANG GLOBAL CABANG SURABAYA,Jawa Timur,Kota Surabaya,8340862828,2024-01-06,PIK62452,1,"DUS, 10 VIAL @ 10 ML",2025-09-30 00:00:00,,VALID
Dalam Negeri,RS ISLAM SURABAYA,JL. JEND.AHMAD YANI NO.2-4,,,KETAMINE HYDROCHLORIDE,KETAMINE HYDROCHLORIDE,BERNOFARM,PARIT PADANG GLOBAL CABANG SURABAYA,Jawa Timur,Kota Surabaya,8340874700,2024-02-02,PIK62852,1,"DUS, 10 VIAL @ 10 ML",2025-09-30 00:00:00,,VALID
Dalam Negeri,RS ISLAM SURABAYA,JL. JEND.AHMAD YANI NO.2-4,,,KETAMINE HYDROCHLORIDE,KETAMINE HYDROCHLORIDE,BERNOFARM,PARIT PADANG GLOBAL CABANG SURABAYA,Jawa Timur,Kota Surabaya,8340883163,2024-02-24,PIK62852,1,"DUS, 10 VIAL @ 10 ML",2025-09-30 00:00:00,,VALID
Dalam Negeri,RS ISLAM SURABAYA,JL. JEND.AHMAD YANI NO.2-4,,,KETAMINE HYDROCHLORIDE,KETAMINE HYDROCHLORIDE,BERNOFARM,PARIT PADANG GLOBAL CABANG SURABAYA,Jawa Timur,Kota Surabaya,8340893662,2024-03-19,PIK62852,1,"DUS, 10 VIAL @ 10 ML",2025-09-30 00:00:00,,VALID
Dalam Negeri,RS ISLAM SURABAYA,JL. JEND.AHMAD YANI NO.2-4,,,KETAMINE HYDROCHLORIDE,KETAMINE HYDROCHLORIDE,BERNOFARM,PARIT PADANG GLOBAL CABANG SURABAYA,Jawa Timur,Kota Surabaya,8340901073,2024-04-03,PIK62852,1,"DUS, 10 VIAL @ 10 ML",2025-09-30 00:00:00,,VALID
Dalam Negeri,RS ISLAM SURABAYA,JL. JEND.AHMAD YANI NO.2-4,,,KETAMINE HYDROCHLORIDE,KETAMINE HYDROCHLORIDE,BERNOFARM,PARIT PADANG GLOBAL CABANG SURABAYA,Jawa Timur,Kota Surabaya,8340907994,2024-04-24,PID50153,1,"DUS, 10 VIAL @ 10 ML",2026-03-31 00:00:00,,VALID
Dalam Negeri,RS ISLAM SURABAYA,JL. JEND.AHMAD YANI NO.2-4,,,KETAMINE HYDROCHLORIDE,KETAMINE HYDROCHLORIDE,BERNOFARM,PARIT PADANG GLOBAL CABANG SURABAYA,Jawa Timur,Kota Surabaya,8340913762,2024-05-08,PID50153,1,"DUS, 10 VIAL @ 10 ML",2026-03-31 00:00:00,,VALID
Dalam Negeri,RS ISLAM SURABAYA,JL. JEND.AHMAD YANI NO.2-4,,,KETAMINE HYDROCHLORIDE,KETAMINE HYDROCHLORIDE,BERNOFARM,PARIT PADANG GLOBAL CABANG SURABAYA,Jawa Timur,Kota Surabaya,8340924391,2024-06-03,PID50153,1,"DUS, 10 VIAL @ 10 ML",2026-03-31 00:00:00,,VALID
Dalam Negeri,RS ISLAM SURABAYA,JL. JEND.AHMAD YANI NO.2-4,,,KETAMINE HYDROCHLORIDE,KETAMINE HYDROCHLORIDE,BERNOFARM,PARIT PADANG GLOBAL CABANG SURABAYA,Jawa Timur,Kota Surabaya,8341014672,2024-12-26,PIM71253,1,"DUS, 10 VIAL @ 10 ML",2026-11-30 00:00:00,,VALID
Dalam Negeri,RS MITRA KELUARGA WARU,JL. JENDERAL S. PARMAN NO 8 WARU - SIDOARJO,,,KETAMINE HYDROCHLORIDE,KEMIDEX,DEXA MEDICA,ANUGRAH ARGON MEDICA CABANG SURABAYA,Jawa Timur,Kota Surabaya,49240199715,2024-10-18,4641075,1,"DUS, 1 VIAL @ 10 ML",2026-05-31 00:00:00,,VALID
Dalam Negeri,RS MITRA KELUARGA WARU,JL. JENDERAL S. PARMAN NO 8 WARU - SIDOARJO,,,KETAMINE HYDROCHLORIDE,KEMIDEX,DEXA MEDICA,ANUGRAH ARGON MEDICA CABANG SURABAYA,Jawa Timur,Kota Surabaya,49240204432,2024-10-25,4641075,2,"DUS, 1 VIAL @ 10 ML",2026-05-31 00:00:00,,VALID
Dalam Negeri,RS MITRA KELUARGA WARU,JL. JENDERAL S. PARMAN NO 8 WARU - SIDOARJO,,,KETAMINE HYDROCHLORIDE,KEMIDEX,DEXA MEDICA,ANUGRAH ARGON MEDICA CABANG SURABAYA,Jawa Timur,Kota Surabaya,49240207061,2024-10-29,4641075,2,"DUS, 1 VIAL @ 10 ML",2026-05-31 00:00:00,,VALID
Dalam Negeri,RS MITRA KELUARGA WARU,JL. JENDERAL S. PARMAN NO 8 WARU - SIDOARJO,,,KETAMINE HYDROCHLORIDE,KEMIDEX,DEXA MEDICA,ANUGRAH ARGON MEDICA CABANG SURABAYA,Jawa Timur,Kota Surabaya,49240212504,2024-11-05,4641075,1,"DUS, 1 VIAL @ 10 ML",2026-05-31 00:00:00,,VALID
Dalam Negeri,RS MITRA KELUARGA WARU,JL. JENDERAL S. PARMAN NO 8 WARU - SIDOARJO,,,KETAMINE HYDROCHLORIDE,KEMIDEX,DEXA MEDICA,ANUGRAH ARGON MEDICA CABANG SURABAYA,Jawa Timur,Kota Surabaya,49240215183,2024-11-08,4641075,1,"DUS, 1 VIAL @ 10 ML",2026-05-31 00:00:00,,VALID
Dalam Negeri,RS MITRA KELUARGA WARU,JL. JENDERAL S. PARMAN NO 8 WARU - SIDOARJO,,,KETAMINE HYDROCHLORIDE,KEMIDEX,DEXA MEDICA,ANUGRAH ARGON MEDICA CABANG SURABAYA,Jawa Timur,Kota Surabaya,49240217372,2024-11-12,4641075,1,"DUS, 1 VIAL @ 10 ML",2026-05-31 00:00:00,,VALID
Dalam Negeri,RS MITRA KELUARGA WARU,JL. JENDERAL S. PARMAN NO 8 WARU - SIDOARJO,,,KETAMINE HYDROCHLORIDE,KEMIDEX,DEXA MEDICA,ANUGRAH ARGON MEDICA CABANG SURABAYA,Jawa Timur,Kota Surabaya,49240222422,2024-11-19,4641075,3,"DUS, 1 VIAL @ 10 ML",2026-05-31 00:00:00,,VALID
Dalam Negeri,RS MITRA KELUARGA WARU,JL. JENDERAL S. PARMAN NO 8 WARU - SIDOARJO,,,KETAMINE HYDROCHLORIDE,KEMIDEX,DEXA MEDICA,ANUGRAH ARGON MEDICA CABANG SURABAYA,Jawa Timur,Kota Surabaya,49240225208,2024-11-22,4641075,1,"DUS, 1 VIAL @ 10 ML",2026-05-31 00:00:00,,VALID
Dalam Negeri,RS MITRA KELUARGA WARU,JL. JENDERAL S. PARMAN NO 8 WARU - SIDOARJO,,,KETAMINE HYDROCHLORIDE,KEMIDEX,DEXA MEDICA,ANUGRAH ARGON MEDICA CABANG SURABAYA,Jawa Timur,Kota Surabaya,49240229838,2024-11-29,4641075,1,"DUS, 1 VIAL @ 10 ML",2026-05-31 00:00:00,,VALID
Dalam Negeri,RS MITRA KELUARGA WARU,JL. JENDERAL S. PARMAN NO 8 WARU - SIDOARJO,,,KETAMINE HYDROCHLORIDE,KEMIDEX,DEXA MEDICA,ANUGRAH ARGON MEDICA CABANG SURABAYA,Jawa Timur,Kota Surabaya,49240233176,2024-12-03,4641075,2,"DUS, 1 VIAL @ 10 ML",2026-05-31 00:00:00,,VALID
Dalam Negeri,RS MITRA KELUARGA WARU,JL. JENDERAL S. PARMAN NO 8 WARU - SIDOARJO,,,KETAMINE HYDROCHLORIDE,KEMIDEX,DEXA MEDICA,ANUGRAH ARGON MEDICA CABANG SURABAYA,Jawa Timur,Kota Surabaya,49240236005,2024-12-07,4641075,4,"DUS, 1 VIAL @ 10 ML",2026-05-31 00:00:00,,VALID
Dalam Negeri,RS MITRA KELUARGA WARU,JL. JENDERAL S. PARMAN NO 8 WARU - SIDOARJO,,,KETAMINE HYDROCHLORIDE,KEMIDEX,DEXA MEDICA,ANUGRAH ARGON MEDICA CABANG SURABAYA,Jawa Timur,Kota Surabaya,49240240431,2024-12-13,4641075,3,"DUS, 1 VIAL @ 10 ML",2026-05-31 00:00:00,,VALID
Dalam Negeri,RS MITRA KELUARGA WARU,JL. JENDERAL S. PARMAN NO 8 WARU - SIDOARJO,,,KETAMINE HYDROCHLORIDE,KEMIDEX,DEXA MEDICA,ANUGRAH ARGON MEDICA CABANG SURABAYA,Jawa Timur,Kota Surabaya,49240242920,2024-12-19,4641075,5,"DUS, 1 VIAL @ 10 ML",2026-05-31 00:00:00,,VALID
Dalam Negeri,RS MITRA KELUARGA WARU,JL. JENDERAL S. PARMAN NO 8 WARU - SIDOARJO,,,KETAMINE HYDROCHLORIDE,KEMIDEX,DEXA MEDICA,ANUGRAH ARGON MEDICA CABANG SURABAYA,Jawa Timur,Kota Surabaya,49240250572,2024-12-27,4641075,10,"DUS, 1 VIAL @ 10 ML",2026-05-31 00:00:00,,VALID
Dalam Negeri,RS MITRA KELUARGA WARU,JL. JENDERAL S. PARMAN NO 8 WARU - SIDOARJO,,,KETAMINE HYDROCHLORIDE,KEMIDEX,DEXA MEDICA,ANUGRAH ARGON MEDICA CABANG SURABAYA,Jawa Timur,Kota Surabaya,49240112965,2024-06-20,4821405,1,"DUS, 1 VIAL @ 10 ML",2024-09-30 00:00:00,,VALID
Dalam Negeri,RS MITRA KELUARGA WARU,JL. JENDERAL S. PARMAN NO 8 WARU - SIDOARJO,,,KETAMINE HYDROCHLORIDE,KEMIDEX,DEXA MEDICA,ANUGRAH ARGON MEDICA CABANG SURABAYA,Jawa Timur,Kota Surabaya,49240117918,2024-06-27,4821405,1,"DUS, 1 VIAL @ 10 ML",2024-09-30 00:00:00,,VALID
Dalam Negeri,RS MITRA KELUARGA WARU,JL. JENDERAL S. PARMAN NO 8 WARU - SIDOARJO,,,KETAMINE HYDROCHLORIDE,KEMIDEX,DEXA MEDICA,ANUGRAH ARGON MEDICA CABANG SURABAYA,Jawa Timur,Kota Surabaya,49240121893,2024-07-02,4821405,1,"DUS, 1 VIAL @ 10 ML",2024-09-30 00:00:00,,VALID
Dalam Negeri,RS MITRA KELUARGA WARU,JL. JENDERAL S. PARMAN NO 8 WARU - SIDOARJO,,,KETAMINE HYDROCHLORIDE,KEMIDEX,DEXA MEDICA,ANUGRAH ARGON MEDICA CABANG SURABAYA,Jawa Timur,Kota Surabaya,49240123848,2024-07-04,4821405,5,"DUS, 1 VIAL @ 10 ML",2024-09-30 00:00:00,,VALID
Dalam Negeri,RS MITRA KELUARGA WARU,JL. JENDERAL S. PARMAN NO 8 WARU - SIDOARJO,,,KETAMINE HYDROCHLORIDE,KEMIDEX,DEXA MEDICA,ANUGRAH ARGON MEDICA CABANG SURABAYA,Jawa Timur,Kota Surabaya,49240131229,2024-07-16,4821405,2,"DUS, 1 VIAL @ 10 ML",2024-09-30 00:00:00,,VALID
Dalam Negeri,RS MITRA KELUARGA WARU,JL. JENDERAL S. PARMAN NO 8 WARU - SIDOARJO,,,KETAMINE HYDROCHLORIDE,KEMIDEX,DEXA MEDICA,ANUGRAH ARGON MEDICA CABANG SURABAYA,Jawa Timur,Kota Surabaya,49240132662,2024-07-18,4821405,1,"DUS, 1 VIAL @ 10 ML",2024-09-30 00:00:00,,VALID
Dalam Negeri,RS MITRA KELUARGA WARU,JL. JENDERAL S. PARMAN NO 8 WARU - SIDOARJO,,,KETAMINE HYDROCHLORIDE,KEMIDEX,DEXA MEDICA,ANUGRAH ARGON MEDICA CABANG SURABAYA,Jawa Timur,Kota Surabaya,49240136238,2024-07-23,4821405,2,"DUS, 1 VIAL @ 10 ML",2024-09-30 00:00:00,,VALID
Dalam Negeri,RS MITRA KELUARGA WARU,JL. JENDERAL S. PARMAN NO 8 WARU - SIDOARJO,,,KETAMINE HYDROCHLORIDE,KEMIDEX,DEXA MEDICA,ANUGRAH ARGON MEDICA CABANG SURABAYA,Jawa Timur,Kota Surabaya,49240138075,2024-07-25,4821405,6,"DUS, 1 VIAL @ 10 ML",2024-09-30 00:00:00,,VALID
Dalam Negeri,RS MITRA KELUARGA WARU,JL. JENDERAL S. PARMAN NO 8 WARU - SIDOARJO,,,KETAMINE HYDROCHLORIDE,KEMIDEX,DEXA MEDICA,ANUGRAH ARGON MEDICA CABANG SURABAYA,Jawa Timur,Kota Surabaya,49240144459,2024-08-02,4821405,6,"DUS, 1 VIAL @ 10 ML",2024-09-30 00:00:00,,VALID
Dalam Negeri,RS MITRA KELUARGA WARU,JL. JENDERAL S. PARMAN NO 8 WARU - SIDOARJO,,,KETAMINE HYDROCHLORIDE,KEMIDEX,DEXA MEDICA,ANUGRAH ARGON MEDICA CABANG SURABAYA,Jawa Timur,Kota Surabaya,49240158700,2024-08-23,4641075,1,"DUS, 1 VIAL @ 10 ML",2026-05-31 00:00:00,,VALID
Dalam Negeri,RS MITRA KELUARGA WARU,JL. JENDERAL S. PARMAN NO 8 WARU - SIDOARJO,,,KETAMINE HYDROCHLORIDE,KEMIDEX,DEXA MEDICA,ANUGRAH ARGON MEDICA CABANG SURABAYA,Jawa Timur,Kota Surabaya,49240164014,2024-08-30,4641075,3,"DUS, 1 VIAL @ 10 ML",2026-05-31 00:00:00,,VALID
Dalam Negeri,RS MITRA KELUARGA WARU,JL. JENDERAL S. PARMAN NO 8 WARU - SIDOARJO,,,KETAMINE HYDROCHLORIDE,KEMIDEX,DEXA MEDICA,ANUGRAH ARGON MEDICA CABANG SURABAYA,Jawa Timur,Kota Surabaya,49240171725,2024-09-10,4641075,4,"DUS, 1 VIAL @ 10 ML",2026-05-31 00:00:00,,VALID
Dalam Negeri,RS MITRA KELUARGA WARU,JL. JENDERAL S. PARMAN NO 8 WARU - SIDOARJO,,,KETAMINE HYDROCHLORIDE,KEMIDEX,DEXA MEDICA,ANUGRAH ARGON MEDICA CABANG SURABAYA,Jawa Timur,Kota Surabaya,49240189895,2024-10-04,4641075,4,"DUS, 1 VIAL @ 10 ML",2026-05-31 00:00:00,,VALID
Dalam Negeri,RS MITRA KELUARGA WARU,JL. JENDERAL S. PARMAN NO 8 WARU - SIDOARJO,,,KETAMINE HYDROCHLORIDE,KEMIDEX,DEXA MEDICA,ANUGRAH ARGON MEDICA CABANG SURABAYA,Jawa Timur,Kota Surabaya,49240192593,2024-10-09,4641075,8,"DUS, 1 VIAL @ 10 ML",2026-05-31 00:00:00,,VALID
Dalam Negeri,RS MITRA KELUARGA WARU,JL. JENDERAL S. PARMAN NO 8 WARU - SIDOARJO,,,KETAMINE HYDROCHLORIDE,KEMIDEX,DEXA MEDICA,ANUGRAH ARGON MEDICA CABANG SURABAYA,Jawa Timur,Kota Surabaya,49240000543,2024-01-03,4821405,4,"DUS, 1 VIAL @ 10 ML",2024-09-30 00:00:00,,VALID
Dalam Negeri,RS MITRA KELUARGA WARU,JL. JENDERAL S. PARMAN NO 8 WARU - SIDOARJO,,,KETAMINE HYDROCHLORIDE,KEMIDEX,DEXA MEDICA,ANUGRAH ARGON MEDICA CABANG SURABAYA,Jawa Timur,Kota Surabaya,49240007544,2024-01-15,4821405,2,"DUS, 1 VIAL @ 10 ML",2024-09-30 00:00:00,,VALID
Dalam Negeri,RS MITRA KELUARGA WARU,JL. JENDERAL S. PARMAN NO 8 WARU - SIDOARJO,,,KETAMINE HYDROCHLORIDE,KEMIDEX,DEXA MEDICA,ANUGRAH ARGON MEDICA CABANG SURABAYA,Jawa Timur,Kota Surabaya,49240010620,2024-01-18,4821405,3,"DUS, 1 VIAL @ 10 ML",2024-09-30 00:00:00,,VALID
Dalam Negeri,RS MITRA KELUARGA WARU,JL. JENDERAL S. PARMAN NO 8 WARU - SIDOARJO,,,KETAMINE HYDROCHLORIDE,KEMIDEX,DEXA MEDICA,ANUGRAH ARGON MEDICA CABANG SURABAYA,Jawa Timur,Kota Surabaya,49240013923,2024-01-23,4821405,3,"DUS, 1 VIAL @ 10 ML",2024-09-30 00:00:00,,VALID
Dalam Negeri,RS MITRA KELUARGA WARU,JL. JENDERAL S. PARMAN NO 8 WARU - SIDOARJO,,,KETAMINE HYDROCHLORIDE,KEMIDEX,DEXA MEDICA,ANUGRAH ARGON MEDICA CABANG SURABAYA,Jawa Timur,Kota Surabaya,49240015598,2024-01-25,4821405,2,"DUS, 1 VIAL @ 10 ML",2024-09-30 00:00:00,,VALID
Dalam Negeri,RS MITRA KELUARGA WARU,JL. JENDERAL S. PARMAN NO 8 WARU - SIDOARJO,,,KETAMINE HYDROCHLORIDE,KEMIDEX,DEXA MEDICA,ANUGRAH ARGON MEDICA CABANG SURABAYA,Jawa Timur,Kota Surabaya,49240018851,2024-01-30,4821405,4,"DUS, 1 VIAL @ 10 ML",2024-09-30 00:00:00,,VALID
Dalam Negeri,RS MITRA KELUARGA WARU,JL. JENDERAL S. PARMAN NO 8 WARU - SIDOARJO,,,KETAMINE HYDROCHLORIDE,KEMIDEX,DEXA MEDICA,ANUGRAH ARGON MEDICA CABANG SURABAYA,Jawa Timur,Kota Surabaya,49240024105,2024-02-09,4821405,9,"DUS, 1 VIAL @ 10 ML",2024-09-30 00:00:00,,VALID
Dalam Negeri,RS MITRA KELUARGA WARU,JL. JENDERAL S. PARMAN NO 8 WARU - SIDOARJO,,,KETAMINE HYDROCHLORIDE,KEMIDEX,DEXA MEDICA,ANUGRAH ARGON MEDICA CABANG SURABAYA,Jawa Timur,Kota Surabaya,49240029528,2024-02-16,4821405,3,"DUS, 1 VIAL @ 10 ML",2024-09-30 00:00:00,,VALID
Dalam Negeri,RS MITRA KELUARGA WARU,JL. JENDERAL S. PARMAN NO 8 WARU - SIDOARJO,,,KETAMINE HYDROCHLORIDE,KEMIDEX,DEXA MEDICA,ANUGRAH ARGON MEDICA CABANG SURABAYA,Jawa Timur,Kota Surabaya,49240032000,2024-02-20,4821405,9,"DUS, 1 VIAL @ 10 ML",2024-09-30 00:00:00,,VALID
Dalam Negeri,RS MITRA KELUARGA WARU,JL. JENDERAL S. PARMAN NO 8 WARU - SIDOARJO,,,KETAMINE HYDROCHLORIDE,KEMIDEX,DEXA MEDICA,ANUGRAH ARGON MEDICA CABANG SURABAYA,Jawa Timur,Kota Surabaya,49240033919,2024-02-22,4821405,10,"DUS, 1 VIAL @ 10 ML",2024-09-30 00:00:00,,VALID
Dalam Negeri,RS MITRA KELUARGA WARU,JL. JENDERAL S. PARMAN NO 8 WARU - SIDOARJO,,,KETAMINE HYDROCHLORIDE,KEMIDEX,DEXA MEDICA,ANUGRAH ARGON MEDICA CABANG SURABAYA,Jawa Timur,Kota Surabaya,49240068156,2024-04-16,4821405,2,"DUS, 1 VIAL @ 10 ML",2024-09-30 00:00:00,,VALID
