jenis_transaksi,tujuan_penyaluran,alamat_tujuan,nama_kota_kab_tujuan,nama_provinsi_tujuan,nama_zat_aktif,nama_obat_jadi,produsen_obat_jadi,nama_pbf,provinsi,kabupaten_kota,no_faktur,tanggal_penyaluran,batch,jumlah,satuan,tanggal_kedaluwarsa,keterangan,jenis_sarana,anomaly_label
DALAM NEGERI,RS PARU JEMBER,"JL NUSA INDAH NO. 28 JEMBERLOR, PATRANG 68111",Kab. Jember,Jawa Timur,MEROPENEM BUFFERED WITH SODIUM CARBONATE,MEROPENEM TRIHYDRATE,INTERBAT,ENSEVAL PUTERA MEGATRADING TBK CABANG JEMBER,JAWA TIMUR,KAB. JEMBER,@,2025-01-03,I604N109,10,"DUS, 1 VIAL @ 1 GRAM",2027-11-30 00:00:00,NAN,Rumah Sakit,1
DALAM NEGERI,RS PARU JEMBER,"JL NUSA INDAH NO. 28 JEMBERLOR, PATRANG 68111",Kab. Jember,Jawa Timur,MEROPENEM BUFFERED WITH SODIUM CARBONATE,MEROPENEM TRIHYDRATE,INTERBAT,ENSEVAL PUTERA MEGATRADING TBK CABANG JEMBER,JAWA TIMUR,KAB. JEMBER,@,2025-01-03,I604N104,40,"DUS, 1 VIAL @ 1 GRAM",2027-10-31 00:00:00,NAN,Rumah Sakit,1
DALAM NEGERI,PT PODO MEKAR JAYA SENTOSA,SURABAYA,Kota Surabaya,Jawa Timur,MEROPENEM TRIHYDRATE,MEROPENEM,INTERBAT,MENSA BINASUKSES CABANG SIDOARJO,JAWA TIMUR,KAB. SIDOARJO,250003213,2025-01-03,I604N111,200,"DUS, 1 VIAL @ 1 G",2027-11-28 00:00:00,NAN,PBF,-1
DALAM NEGERI,NATIONAL HOSPITAL,JL BOULEVARD FAMILI SELATAN KAV 1 BABATAN,Kota Surabaya,Jawa Timur,MEROPENEM BUFFERED WITH SODIUM CARBONATE,MEROSAN 1,SANBE FARMA (UNIT 2),BINA SAN PRIMA CABANG SURABAYA II,JAWA TIMUR,KOTA SURABAYA,FKSB2/202501/00625,2025-01-03,EE4480,15,"DUS, 1 VIAL @ 1 G",2026-05-03 00:00:00,NAN,Rumah Sakit,1
DALAM NEGERI,RS GATOEL,"JL. RADEN WIJAYA NO. 56, KEL. KRANGGAN, KEC PRAJURIT KULON, KOTA MOJOKERTO. 61321",KOTA MOJOKERTO,JAWA TIMUR,MEROPENEM BUFFERED WITH SODIUM CARBONATE,MEROPENEM,HEXPHARM JAYA LABORATORIES,ENSEVAL PUTERA MEGATRADING TBK CABANG SIDOARJO,JAWA TIMUR,KAB. SIDOARJO,125000356,2025-01-03,IMRPA41533,10,"DUS, 1 VIAL @ 1 G",2026-07-31 00:00:00,NAN,Rumah Sakit,1
DALAM NEGERI,APOTEK SKM,PAMEKASAN,Kab. Pamekasan,Jawa Timur,MEROPENEM TRIHYDRATE,MEROPENEM,INTERBAT,MENSA BINASUKSES CABANG SIDOARJO,JAWA TIMUR,KAB. SIDOARJO,250004349,2025-01-03,I604N111,6,"DUS, 1 VIAL @ 1 G",2027-11-28 00:00:00,NAN,Apotek,1
DALAM NEGERI,RS PETROKIMIA GRESIK,JL. JEND.A.YANI NO.69 NGIPIK GRESIK 61119,Kab. Gresik,Jawa Timur,MEROPENEM BUFFERED WITH SODIUM CARBONATE,MEROPENEM,HEXPHARM JAYA LABORATORIES,ENSEVAL PUTERA MEGATRADING TBK CABANG SURABAYA,JAWA TIMUR,KOTA SURABAYA,125000509,2025-01-03,IMRPA41533,6,"DUS, 1 VIAL @ 1 G",2026-07-31 00:00:00,NAN,Rumah Sakit,1
DALAM NEGERI,PT NUSANTARA MEDIKA UTAMA,"JL. BEDADUNG 2, JEMBER LOR, PATRANG, JEMBER 68118",Kab. Jember,Jawa Timur,MEROPENEM BUFFERED WITH SODIUM CARBONATE,MEROPENEM,HEXPHARM JAYA LABORATORIES,ENSEVAL PUTERA MEGATRADING TBK CABANG JEMBER,JAWA TIMUR,KAB. JEMBER,@,2025-01-03,IMRPA41525,40,"DUS, 1 VIAL @ 1 G",2026-06-30 00:00:00,NAN,PBF,1
DALAM NEGERI,RS PANTI WALUYA SAWAHAN,"JL. NUSAKAMBANGAN 56, KOTA MALANG 65117",KOTA MALANG,JAWA TIMUR,MEROPENEM BUFFERED WITH SODIUM CARBONATE,MEROPENEM TRIHYDRATE,INTERBAT,ENSEVAL PUTERA MEGATRADING TBK CABANG MALANG,JAWA TIMUR,KAB. MALANG,125000514,2025-01-03,I603N004,10,"DUS, 1 VIAL @ 0.5 GRAM",2027-05-30 00:00:00,NAN,Rumah Sakit,1
DALAM NEGERI,RSI UNISMA,JL. M.T. HARYONO NO.193 DINOYO LOWOKWARU KOTA MALANG,KOTA MALANG,JAWA TIMUR,MEROPENEM TRIHYDRATE,MEROPENEM TRIHYDRATE,NOVELL PHARMACEUTICAL LABORATORIES,ANTARMITRA SEMBADA CABANG MALANG,JAWA TIMUR,KAB. MALANG,INVMLG250100114,2025-01-04,EHC020,5,"DUS, 1 VIAL @ 1 G",2025-11-30 00:00:00,TRIAL,Rumah Sakit,1
DALAM NEGERI,RS HUSADA UTAMA,JL. PROF.DR.MOESTOPO NO.31-35 PACARKELING TAMBAKSARI SURABAYA 60131,Kota Surabaya,Jawa Timur,MEROPENEM BUFFERED WITH SODIUM CARBONATE,MEROBAT,INTERBAT,ENSEVAL PUTERA MEGATRADING TBK CABANG SURABAYA,JAWA TIMUR,KOTA SURABAYA,125000654,2025-01-04,I037N002,50,"DUS, 1 VIAL @ 1 G",2027-04-30 00:00:00,NAN,Rumah Sakit,1
DALAM NEGERI,RS PANTI WALUYA SAWAHAN,JL. NUSA KAMBANGAN NO.56 KEL.KASIN,Kota Malang,Jawa Timur,MEROPENEM BUFFERED WITH SODIUM CARBONATE,"MEROSAN 0,5",SANBE FARMA (UNIT 2),BINA SAN PRIMA CABANG MALANG,JAWA TIMUR,KAB. MALANG,FKMLG/202501/00900,2025-01-04,EF4578,3,"DUS, 1 VIAL @ 0,5 G",2026-06-07 00:00:00,NAN,Rumah Sakit,1
DALAM NEGERI,RSIA KENDANGSARI MERR,JL. DR. IR. H. SOEKARNO NO. 2,Kota Surabaya,Jawa Timur,MEROPENEM BUFFERED WITH SODIUM CARBONATE,MEROTIK,LAPI LABORATORIES,MILLENNIUM PHARMACON INTERNATIONAL TBK CABANG SURABAYA,JAWA TIMUR,KOTA SURABAYA,130525000483,2025-01-04,O4074,1,"DUS, 1 VIAL @ 1 G",2026-08-30 00:00:00,NAN,Rumah Sakit,1
DALAM NEGERI,RS PANTI WALUYA SAWAHAN,JL. NUSA KAMBANGAN NO.56 KEL.KASIN,Kota Malang,Jawa Timur,MEROPENEM BUFFERED WITH SODIUM CARBONATE,MEROSAN 1,SANBE FARMA (UNIT 2),BINA SAN PRIMA CABANG MALANG,JAWA TIMUR,KAB. MALANG,FKMLG/202501/00900,2025-01-04,EC4477,5,"DUS, 1 VIAL @ 1 G",2026-03-18 00:00:00,NAN,Rumah Sakit,1
DALAM NEGERI,RS WIJAYA KUSUMA,JL. A.YANI NO.149 LUMAJANG 67311,Kab. Lumajang,Jawa Timur,MEROPENEM BUFFERED WITH SODIUM CARBONATE,MEROPENEM,HEXPHARM JAYA LABORATORIES,ENSEVAL PUTERA MEGATRADING TBK CABANG JEMBER,JAWA TIMUR,KAB. JEMBER,@,2025-01-04,IMRPA41525,50,"DUS, 1 VIAL @ 1 G",2026-06-30 00:00:00,NAN,Rumah Sakit,1
DALAM NEGERI,RS BHAYANGKARA,JL. KYAI ILYAS NO. 7 LUMAJANG,Kab. Lumajang,Jawa Timur,MEROPENEM BUFFERED WITH SODIUM CARBONATE,MEROPENEM,BERNOFARM,PARIT PADANG GLOBAL CABANG JEMBER,JAWA TIMUR,KAB. JEMBER,8370293220,2025-01-04,PSE51853,20,"DUS, 10 VIAL @ 1 G",2026-04-30 00:00:00,NAN,Rumah Sakit,1
DALAM NEGERI,RSUD DR SAYIDIMAN,JL.PAHLAWAN NO.2 MAGETAN,Kab. Magetan,Jawa Timur,MEROPENEM BUFFERED WITH SODIUM CARBONATE,MEROPEX,BERNOFARM,UNITED DICO CITAS CABANG MALANG,JAWA TIMUR,KAB. MALANG,363994,2025-01-04,PSL89452,20,"DUS, 1 VIAL @ 1 G",2026-10-01 00:00:00,NAN,Rumah Sakit,1
