jenis_transaksi,tujuan_penyaluran,alamat_tujuan,nama_kota_kab_tujuan,nama_provinsi_tujuan,nama_zat_aktif,nama_obat_jadi,produsen_obat_jadi,nama_pbf,provinsi,kabupaten_kota,no_faktur,tanggal_penyaluran,batch,jumlah,satuan,tanggal_kedaluwarsa,keterangan,jenis_sarana,anomaly_label
DALAM NEGERI,RS DARMO,"JL.RAYA DARMO NO.90,SURABAYA",Kota Surabaya,Jawa Timur,MEROPENEM BUFFERED WITH SODIUM CARBONATE,MEROTIK,LAPI LABORATORIES,KALLISTA PRIMA CABANG SURABAYA,JAWA TIMUR,KOTA SURABAYA,3493,2025-01-20,O4064,10,"DUS, 1 VIAL @ 1 G",2026-07-01 00:00:00,MEROTIK INJEKSI 1 GR,Rumah Sakit,1
DALAM NEGERI,RS HERMINA,JL. TANGKUBANPRAHU 31-33,Kab. Malang,Jawa Timur,MEROPENEM BUFFERED WITH SODIUM CARBONATE,MEROPENEM,HEXPHARM JAYA LABORATORIES,PARIT PADANG GLOBAL CABANG MALANG,JAWA TIMUR,KAB. MALANG,8320663762,2025-01-20,IMRPA41539,25,"DUS, 1 VIAL @ 1 G",2026-08-31 00:00:00,-,Rumah Sakit,1
DALAM NEGERI,RS ONKOLOGI SURABAYA,GALAXI BUMI PERMAI BLOK A-2/7 KEPUTIH SUKOLILO 60293,Kota Surabaya,Jawa Timur,MEROPENEM BUFFERED WITH SODIUM CARBONATE,MEROPENEM,HEXPHARM JAYA LABORATORIES,ENSEVAL PUTERA MEGATRADING TBK CABANG SIDOARJO,JAWA TIMUR,KAB. SIDOARJO,125009391,2025-01-20,IMRPA41533,3,"DUS, 1 VIAL @ 1 G",2026-07-31 00:00:00,NAN,Rumah Sakit,1
DALAM NEGERI,RSI JOMBANG,JL. BRIGJEN KRETARTO 22 A,Kab. Jombang,Jawa Timur,MEROPENEM BUFFERED WITH SODIUM CARBONATE,MEROPENEM,BERNOFARM,PARIT PADANG GLOBAL CABANG SURABAYA,JAWA TIMUR,KOTA SURABAYA,8341023018,2025-01-20,PSE51753,1,"DUS, 10 VIAL @ 1 G",2026-04-30 00:00:00,NAN,Rumah Sakit,1
DALAM NEGERI,RS PERKUMPULAN ADI HUSADA,JL. UNDAAN WETAN NO. 40 - 44,Kota Surabaya,Jawa Timur,MEROPENEM BUFFERED WITH SODIUM CARBONATE,"MEROSAN 0,5",SANBE FARMA (UNIT 2),BINA SAN PRIMA CABANG SURABAYA I,JAWA TIMUR,KOTA SURABAYA,FKSBY/202501/13274,2025-01-20,EF4578,10,"DUS, 1 VIAL @ 0,5 G",2026-06-07 00:00:00,NAN,Rumah Sakit,1
DALAM NEGERI,APOTEK MEDICASTORE,"JL.BALAS KLUMPRIK NO.116,BALAS KLUMPRIK,",Kota Surabaya,Jawa Timur,MEROPENEM BUFFERED WITH SODIUM CARBONATE,MEROPENEM,MEPROFARM,KALLISTA PRIMA CABANG SURABAYA,JAWA TIMUR,KOTA SURABAYA,3678,2025-01-20,D4A565,2,"DUS, 10 VIAL @ 1 G",2026-01-01 00:00:00,MEROPENEM 1 GRAM INJEKSI,Apotek,1
DALAM NEGERI,PT BINA SAN PRIMA,"JL. A YANI KM 13.4 NO 88 BLOK A,B,C,D DAN F BANJARMASIN PROV KALSEL",Kota Banjarmasin,Kalimantan Selatan,MEROPENEM BUFFERED WITH SODIUM CARBONATE,"MEROSAN 0,5",SANBE FARMA (UNIT 2),BINA SAN PRIMA CABANG SURABAYA I,JAWA TIMUR,KOTA SURABAYA,T0420/2501/0069,2025-01-20,EF4578,2,"DUS, 1 VIAL @ 0,5 G",2026-06-07 00:00:00,NAN,PBF,1
DALAM NEGERI,RSK MOJOWARNO,JL. MERDEKA NO 59 MOJOWARNO JOMBANG 61382,Kab. Jombang,Jawa Timur,MEROPENEM BUFFERED WITH SODIUM CARBONATE,MEROPENEM,HEXPHARM JAYA LABORATORIES,ENSEVAL PUTERA MEGATRADING TBK CABANG SIDOARJO,JAWA TIMUR,KAB. SIDOARJO,325000569,2025-01-20,IMRPA41533,30,"DUS, 1 VIAL @ 1 G",2026-07-31 00:00:00,NAN,Rumah Sakit,1
DALAM NEGERI,MAYAPADA HOSPITAL,JL. MAYJEND SUNGKONO NO. 16-20 SURABAYA 60225,Kota Surabaya,Jawa Timur,MEROPENEM BUFFERED WITH SODIUM CARBONATE,MEROPENEM,HEXPHARM JAYA LABORATORIES,ENSEVAL PUTERA MEGATRADING TBK CABANG SIDOARJO,JAWA TIMUR,KAB. SIDOARJO,125009609,2025-01-20,IMRPA41533,10,"DUS, 1 VIAL @ 1 G",2026-07-31 00:00:00,NAN,Rumah Sakit,1
DALAM NEGERI,RS DR SOETOMO SURABAYA,"JL. MAYJEN PROF DR MOESTOPO NO. 6-8 AIRLANGGA, GUBENG, SURABAYA 60286",Kota Surabaya,Jawa Timur,MEROPENEM BUFFERED WITH SODIUM CARBONATE,MEROPENEM,HEXPHARM JAYA LABORATORIES,ENSEVAL PUTERA MEGATRADING TBK CABANG SURABAYA,JAWA TIMUR,KOTA SURABAYA,125006245,2025-01-20,IMRPA41555,7,"DUS, 1 VIAL @ 1 G",2026-09-30 00:00:00,NAN,Rumah Sakit,1
DALAM NEGERI,RS DR SOETOMO SURABAYA,"JL. MAYJEN PROF DR MOESTOPO NO. 6-8 AIRLANGGA, GUBENG, SURABAYA 60286",Kota Surabaya,Jawa Timur,MEROPENEM BUFFERED WITH SODIUM CARBONATE,MEROPENEM,HEXPHARM JAYA LABORATORIES,ENSEVAL PUTERA MEGATRADING TBK CABANG SURABAYA,JAWA TIMUR,KOTA SURABAYA,125006245,2025-01-20,IMRPA41555,493,"DUS, 1 VIAL @ 1 G",2026-09-30 00:00:00,NAN,Rumah Sakit,-1
DALAM NEGERI,RSI JOMBANG,JOMBANG,Kab. Jombang,Jawa Timur,MEROPENEM TRIHYDRATE,MEROPENEM,INTERBAT,MENSA BINASUKSES CABANG SIDOARJO,JAWA TIMUR,KAB. SIDOARJO,250074545,2025-01-20,I604M052,10,"DUS, 1 VIAL @ 1 G",2026-07-28 00:00:00,NAN,Rumah Sakit,1
DALAM NEGERI,APOTEK FARHAN,"JL.KAMBOJA NO.16,SUMENEP",Kab. Sumenep,Jawa Timur,MEROPENEM TRIHYDRATE,SIMPENEM,SIMEX PHARMACEUTICAL INDONESIA,KALLISTA PRIMA CABANG SURABAYA,JAWA TIMUR,KOTA SURABAYA,3874,2025-01-21,SP3G02,5,"DUS,1 VIAL @ 1 GRAM",2025-09-01 00:00:00,SIMPENEM 1 GR INJEKSI,Apotek,1
DALAM NEGERI,RSUD DR R SOEDARSONO,JL. DR. WAHIDIN SUDIROHUSODO NO.1-4 KOTA PASURUAN 67117,KOTA PASURUAN,JAWA TIMUR,MEROPENEM BUFFERED WITH SODIUM CARBONATE,MEROPENEM,HEXPHARM JAYA LABORATORIES,ENSEVAL PUTERA MEGATRADING TBK CABANG MALANG,JAWA TIMUR,KAB. MALANG,325000469,2025-01-21,IMRPA41515,50,"DUS, 1 VIAL @ 1 G",2026-04-30 00:00:00,NAN,Rumah Sakit,1
DALAM NEGERI,RS INSTALASI FARMASI DARMO,JL. RAYA DARMO 90 KEPUTRAN TEGALSARI SURABAYA JAWA TIMUR 60264,Kota Surabaya,Jawa Timur,MEROPENEM BUFFERED WITH SODIUM CARBONATE,MEROPENEM,HEXPHARM JAYA LABORATORIES,ENSEVAL PUTERA MEGATRADING TBK CABANG SIDOARJO,JAWA TIMUR,KAB. SIDOARJO,125010290,2025-01-21,IMRPA41533,20,"DUS, 1 VIAL @ 1 G",2026-07-31 00:00:00,NAN,Rumah Sakit,1
DALAM NEGERI,RS ASYIFA HUSADA,PAMEKASAN,Kab. Pamekasan,Jawa Timur,MEROPENEM TRIHYDRATE,MEROPENEM,INTERBAT,MENSA BINASUKSES CABANG SIDOARJO,JAWA TIMUR,KAB. SIDOARJO,250080306,2025-01-21,I604M052,15,"DUS, 1 VIAL @ 1 G",2026-07-28 00:00:00,NAN,Rumah Sakit,1
DALAM NEGERI,RS WAVA HUSADA,"JL. PANGLIMA SUDIRMAN 99A KEPANJEN, KAB. MALANG 65163",MALANG,JAWA TIMUR,MEROPENEM BUFFERED WITH SODIUM CARBONATE,MEROPENEM,HEXPHARM JAYA LABORATORIES,ENSEVAL PUTERA MEGATRADING TBK CABANG MALANG,JAWA TIMUR,KAB. MALANG,325000471,2025-01-21,IMRPA41515,80,"DUS, 1 VIAL @ 1 G",2026-04-30 00:00:00,NAN,Rumah Sakit,1
DALAM NEGERI,RSB INSTALASI FARMASI AMANAH,JL. DR. SALEH NO.43 RT.01 RW.07 SUKABUMI MAYANGAN,Kab. Probolinggo,Jawa Timur,MEROPENEM BUFFERED WITH SODIUM CARBONATE,MEROPENEM,MEPROFARM,PENTA VALENT CABANG MALANG,JAWA TIMUR,KAB. MALANG,400117250001393,2025-01-21,D4J120,1,"DUS, 10 VIAL @ 1 G",2026-09-30 00:00:00,MEROPENEM INJEKSI 1 G / INSTALASI FARMASI RSB AMANAH / GKL1515623944B1,Rumah Sakit,1
DALAM NEGERI,RS BINA SEHAT,JL. JAYANEGARA NO.7 JEMBER 68133,Kab. Jember,Jawa Timur,MEROPENEM BUFFERED WITH SODIUM CARBONATE,MEROPENEM,HEXPHARM JAYA LABORATORIES,ENSEVAL PUTERA MEGATRADING TBK CABANG JEMBER,JAWA TIMUR,KAB. JEMBER,@,2025-01-21,IMRPA41528,40,"DUS, 1 VIAL @ 1 G",2026-06-30 00:00:00,NAN,Rumah Sakit,1
DALAM NEGERI,RS CITRA MEDIKA FORTUNA,JL. RAYA SURABAYA-MOJOKERTO KM. 44 RT.006 RW.002 KRAMATTEMENGGUNG-TARIK,Kab. Mojokerto,Jawa Timur,MEROPENEM BUFFERED WITH SODIUM CARBONATE,MEROPENEM,MEPROFARM,PENTA VALENT CABANG SIDOARJO,JAWA TIMUR,KOTA SURABAYA,400116250001709,2025-01-21,D4H082,6,"DUS, 10 VIAL @ 1 G",2026-08-31 00:00:00,NAN,Rumah Sakit,1
DALAM NEGERI,RS HUSADA UTAMA,JL. PROF.DR.MOESTOPO NO.31-35 PACARKELING TAMBAKSARI SURABAYA 60131,Kota Surabaya,Jawa Timur,MEROPENEM BUFFERED WITH SODIUM CARBONATE,MEROBAT,INTERBAT,ENSEVAL PUTERA MEGATRADING TBK CABANG SURABAYA,JAWA TIMUR,KOTA SURABAYA,125006566,2025-01-21,I037N003,30,"DUS, 1 VIAL @ 1 G",2027-09-30 00:00:00,NAN,Rumah Sakit,1
DALAM NEGERI,RS SURABAYA PREMIER,JL NGINDEN INTAN BARAT BLK B,Kota Surabaya,Jawa Timur,MEROPENEM BUFFERED WITH SODIUM CARBONATE,MEROSAN 1,SANBE FARMA (UNIT 2),BINA SAN PRIMA CABANG SURABAYA II,JAWA TIMUR,KOTA SURABAYA,FKSB2/202501/12128,2025-01-21,EF4577B,40,"DUS, 1 VIAL @ 1 G",2026-06-14 00:00:00,NAN,Rumah Sakit,1
DALAM NEGERI,RSI GARAM,SUMENEP,Kab. Sumenep,Jawa Timur,MEROPENEM TRIHYDRATE,MEROPENEM,INTERBAT,MENSA BINASUKSES CABANG SIDOARJO,JAWA TIMUR,KAB. SIDOARJO,250080169,2025-01-21,I604M052,30,"DUS, 1 VIAL @ 1 G",2026-07-28 00:00:00,NAN,Rumah Sakit,1
DALAM NEGERI,PERSADA HOSPITAL,"JL. PANJI SUROSO ARAYA BUSINESS CENTRE KAV.II-IV PURWODADI, KEC. BLIMBING, KOTA MALANG 65125",KOTA MALANG,JAWA TIMUR,MEROPENEM BUFFERED WITH SODIUM CARBONATE,MEROPENEM,HEXPHARM JAYA LABORATORIES,ENSEVAL PUTERA MEGATRADING TBK CABANG MALANG,JAWA TIMUR,KAB. MALANG,325000483,2025-01-21,IMRPA41515,30,"DUS, 1 VIAL @ 1 G",2026-04-30 00:00:00,NAN,Rumah Sakit,1
DALAM NEGERI,RS HERMINA,"JL. TANGKUBANPRAHU NO.33, KOTA MALANG 65119",KOTA MALANG,JAWA TIMUR,MEROPENEM BUFFERED WITH SODIUM CARBONATE,MEROPENEM,HEXPHARM JAYA LABORATORIES,ENSEVAL PUTERA MEGATRADING TBK CABANG MALANG,JAWA TIMUR,KAB. MALANG,125006741,2025-01-21,IMRPA41515,20,"DUS, 1 VIAL @ 1 G",2026-04-30 00:00:00,NAN,Rumah Sakit,1
DALAM NEGERI,RSI MALANG,JL. M.T. HARYONO NO. 139,Kab. Malang,Jawa Timur,MEROPENEM BUFFERED WITH SODIUM CARBONATE,MEROPENEM,MEPROFARM,PENTA VALENT CABANG MALANG,JAWA TIMUR,KAB. MALANG,400117250001409,2025-01-21,D4J120,1,"DUS, 10 VIAL @ 1 G",2026-09-30 00:00:00,MEROPENEM INJEKSI 1 G / YAYASAN RUMAH SAKIT ISLAM MALANG / GKL1515623944B1,Rumah Sakit,1
DALAM NEGERI,RS MUHAMMADIYAH,JL. DR. SOETOMO NO.15 RT.003 RW.003 JOMBANG 61419,Kab. Jombang,Jawa Timur,MEROPENEM BUFFERED WITH SODIUM CARBONATE,MEROPENEM,HEXPHARM JAYA LABORATORIES,ENSEVAL PUTERA MEGATRADING TBK CABANG SIDOARJO,JAWA TIMUR,KAB. SIDOARJO,125010715,2025-01-21,IMRPA41533,8,"DUS, 1 VIAL @ 1 G",2026-07-31 00:00:00,NAN,Rumah Sakit,1
DALAM NEGERI,RS HUSADA UTAMA,JL. PROF.DR.MOESTOPO NO.31-35 PACARKELING TAMBAKSARI SURABAYA 60131,Kota Surabaya,Jawa Timur,MEROPENEM BUFFERED WITH SODIUM CARBONATE,MEROBAT,INTERBAT,ENSEVAL PUTERA MEGATRADING TBK CABANG SURABAYA,JAWA TIMUR,KOTA SURABAYA,125006569,2025-01-21,I037N003,20,"DUS, 1 VIAL @ 1 G",2027-09-30 00:00:00,NAN,Rumah Sakit,1
DALAM NEGERI,RS RIZANI,JL.RAYA SURABAYA-SITUBONDO KM 135,Kab. Probolinggo,Jawa Timur,MEROPENEM BUFFERED WITH SODIUM CARBONATE,MEROPENEM,BERNOFARM,PARIT PADANG GLOBAL CABANG JEMBER,JAWA TIMUR,KAB. JEMBER,8370295015,2025-01-21,PSE51853,35,"DUS, 10 VIAL @ 1 G",2026-04-30 00:00:00,NAN,Rumah Sakit,1
DALAM NEGERI,RSU BHAYANGKARA PUSDIK SABHARA SIDOARJO,JL.RAYA PORONG NO. 1 PORONG - SDA,Kab. Sidoarjo,Jawa Timur,MEROPENEM BUFFERED WITH SODIUM CARBONATE,MEROPENEM,BERNOFARM,PARIT PADANG GLOBAL CABANG SURABAYA,JAWA TIMUR,KOTA SURABAYA,8341024101,2025-01-22,PSE51753,1,"DUS, 10 VIAL @ 1 G",2026-04-30 00:00:00,NAN,Rumah Sakit,1
DALAM NEGERI,RSI NASHRUL UMMAH,JL. MERPATI NO. 62,Kab. Lamongan,Jawa Timur,MEROPENEM BUFFERED WITH SODIUM CARBONATE,MEROPENEM,BERNOFARM,PARIT PADANG GLOBAL CABANG SURABAYA,JAWA TIMUR,KOTA SURABAYA,8341024198,2025-01-22,PSE51753,3,"DUS, 10 VIAL @ 1 G",2026-04-30 00:00:00,NAN,Rumah Sakit,1
DALAM NEGERI,RUMKIT TK III 05 06 02 BALADIKA HUSADA JEMBER,JL. PB SUDIRMAN NO.49 JEMBER LOR PATRANG,Kab. Jember,Jawa Timur,MEROPENEM TRIHYDRATE,MEROPENEM TRIHYDRATE,NOVELL PHARMACEUTICAL LABORATORIES,PENTA VALENT CABANG JEMBER,JAWA TIMUR,KAB. JEMBER,4.00E+27,2025-01-22,EHL199,55,"DUS, 1 VIAL @ 1 G",0000-00-00,MEROPENEM INJEKSI 1 GR @ 1 VIAL (OGB) / RUMKIT TK. III 05.06.02 BALADIKA HUSADA JEMBER / GKL1033523944A1,Lainnya,1
DALAM NEGERI,RS REKSA WALUYA,JL. MOJOPAHIT 422 MOJOKERTO TL. 0321-322170322511,Kab. Mojokerto,Jawa Timur,MEROPENEM BUFFERED WITH SODIUM CARBONATE,MEROPENEM,BERNOFARM,PARIT PADANG GLOBAL CABANG SURABAYA,JAWA TIMUR,KOTA SURABAYA,8341024299,2025-01-22,PSE51753,3,"DUS, 10 VIAL @ 1 G",2026-04-30 00:00:00,NAN,Rumah Sakit,1
DALAM NEGERI,PERSADA HOSPITAL,JL.P.SUROSO ARAYA BUSINESS KAV.II-IV MLG,Kota Malang,Jawa Timur,MEROPENEM BUFFERED WITH SODIUM CARBONATE,MEROTIK,LAPI LABORATORIES,KALLISTA PRIMA CABANG MALANG,JAWA TIMUR,KAB. MALANG,3058,2025-01-22,O4074,15,"DUS, 1 VIAL @ 1 G",2026-08-01 00:00:00,MEROTIK INJEKSI 1 GR,Rumah Sakit,1
DALAM NEGERI,RS MUHAMMADIYAH,JL. RAYA P. SUDIRMAN NO.65,Kab. Probolinggo,Jawa Timur,MEROPENEM BUFFERED WITH SODIUM CARBONATE,MEROPENEM,BERNOFARM,KIMIA FARMA TRADING & DISTRIBUTION CABANG JEMBER,JAWA TIMUR,KAB. JEMBER,2808076307,2025-01-22,I42464J,1,"DUS, 10 VIAL @ 1 G",2026-09-07 00:00:00,NAN,Rumah Sakit,1
DALAM NEGERI,RS UBAYA,JL. PANJANG JIWO PERMAI NO. 89 TENGGILIS MEJOYO KOTA SURABAYA 60299,KOTA SURABAYA,JAWA TIMUR,MEROPENEM BUFFERED WITH SODIUM CARBONATE,MEROPENEM,HEXPHARM JAYA LABORATORIES,ENSEVAL PUTERA MEGATRADING TBK CABANG SIDOARJO,JAWA TIMUR,KAB. SIDOARJO,325000686,2025-01-22,IMRPA41533,11,"DUS, 1 VIAL @ 1 G",2026-07-31 00:00:00,NAN,Rumah Sakit,1
DALAM NEGERI,RSU UNIVERSITAS MUHAMMADIYAH,JL. WOLTER MONGINSIDI NO. 91 KRANJINGAN - SUMBERSARI - JEMBER 68126,Kab. Jember,Jawa Timur,MEROPENEM BUFFERED WITH SODIUM CARBONATE,MEROPENEM,HEXPHARM JAYA LABORATORIES,ENSEVAL PUTERA MEGATRADING TBK CABANG JEMBER,JAWA TIMUR,KAB. JEMBER,@,2025-01-22,IMRPA41528,10,"DUS, 1 VIAL @ 1 G",2026-06-30 00:00:00,NAN,Rumah Sakit,1
DALAM NEGERI,RS HUSADA UTAMA,JL. PROF.DR.MOESTOPO NO.31-35 PACARKELING TAMBAKSARI SURABAYA 60131,Kota Surabaya,Jawa Timur,MEROPENEM BUFFERED WITH SODIUM CARBONATE,MEROPENEM,HEXPHARM JAYA LABORATORIES,ENSEVAL PUTERA MEGATRADING TBK CABANG SURABAYA,JAWA TIMUR,KOTA SURABAYA,325000490,2025-01-22,IMRPA41555,1,"DUS, 1 VIAL @ 1 G",2026-09-30 00:00:00,NAN,Rumah Sakit,1
DALAM NEGERI,RS UBAYA,JL. PANJANG JIWO PERMAI NO. 89 TENGGILIS MEJOYO KOTA SURABAYA 60299,KOTA SURABAYA,JAWA TIMUR,MEROPENEM BUFFERED WITH SODIUM CARBONATE,MEROPENEM,HEXPHARM JAYA LABORATORIES,ENSEVAL PUTERA MEGATRADING TBK CABANG SIDOARJO,JAWA TIMUR,KAB. SIDOARJO,325000686,2025-01-22,IMRPA41533,13,"DUS, 1 VIAL @ 1 G",2026-07-31 00:00:00,NAN,Rumah Sakit,1
DALAM NEGERI,PT SEHAT INTI PERKASA,SURABAYA,Kota Surabaya,Jawa Timur,MEROPENEM TRIHYDRATE,MEROPENEM,INTERBAT,MENSA BINASUKSES CABANG SIDOARJO,JAWA TIMUR,KAB. SIDOARJO,250084411,2025-01-22,1604N108,16,"DUS, 1 VIAL @ 1 G",2027-11-30 00:00:00,NAN,PBF,1
DALAM NEGERI,RS PRIMASATYA HUSADA CITRA,SURABAYA,Kota Surabaya,Jawa Timur,MEROPENEM TRIHYDRATE,MEROPENEM,INTERBAT,MENSA BINASUKSES CABANG SIDOARJO,JAWA TIMUR,KAB. SIDOARJO,250088768,2025-01-22,1604N108,40,"DUS, 1 VIAL @ 1 G",2027-11-30 00:00:00,NAN,Rumah Sakit,1
DALAM NEGERI,PT SEHAT INTI PERKASA,SURABAYA,Kota Surabaya,Jawa Timur,MEROPENEM TRIHYDRATE,MEROPENEM,INTERBAT,MENSA BINASUKSES CABANG SIDOARJO,JAWA TIMUR,KAB. SIDOARJO,250084411,2025-01-22,I604N111,14,"DUS, 1 VIAL @ 1 G",2027-11-28 00:00:00,NAN,PBF,1
DALAM NEGERI,RS MUHAMMADIYAH AHMAD DAHLAN,JL. GATOT SUBROTO NO.84 NGAMPEL MOJOROTO KEDIRI 64112,Kab. Kediri,Jawa Timur,MEROPENEM BUFFERED WITH SODIUM CARBONATE,MEROPENEM,HEXPHARM JAYA LABORATORIES,ENSEVAL PUTERA MEGATRADING TBK CABANG KEDIRI,JAWA TIMUR,KAB. KEDIRI,@,2025-01-22,IMRPA41528,50,"DUS, 1 VIAL @ 1 G",2026-06-30 00:00:00,NAN,Rumah Sakit,1
DALAM NEGERI,RS BHAYANGKARA HASTA BRATA,"RA KARTINI NO.1, JL",Kota Batu,Jawa Timur,MEROPENEM BUFFERED WITH SODIUM CARBONATE,MEROPENEM,BERNOFARM,PARIT PADANG GLOBAL CABANG MALANG,JAWA TIMUR,KAB. MALANG,8320664444,2025-01-22,PSH87953,15,"DUS, 10 VIAL @ 1 G",2026-07-31 00:00:00,-,Rumah Sakit,1
DALAM NEGERI,RSUD SRENGAT,"JL. RAYA DANDONG RT.002 RW.003 KEL.DANDONG KEC.SRENGAT, KAB. BLITAR 66152",BLITAR,JAWA TIMUR,MEROPENEM BUFFERED WITH SODIUM CARBONATE,MEROPENEM,HEXPHARM JAYA LABORATORIES,ENSEVAL PUTERA MEGATRADING TBK CABANG MALANG,JAWA TIMUR,KAB. MALANG,125007548,2025-01-22,IMRPA41515,200,"DUS, 1 VIAL @ 1 G",2026-04-30 00:00:00,NAN,Rumah Sakit,-1
DALAM NEGERI,KLINIK GRIYA BROMO,JL. BROMO NO. 7 KLOJEN MALANG,Kab. Malang,Jawa Timur,MEROPENEM BUFFERED WITH SODIUM CARBONATE,MEROPENEM,MEPROFARM,LAB MEDIKA SEJAHTERA CABANG MALANG,JAWA TIMUR,KAB. MALANG,FC -2501-923334,2025-01-22,D4C646,1,"DUS, 10 VIAL @ 1 G",2026-03-01 00:00:00,NAN,Klinik,1
DALAM NEGERI,RUMKIT TK III 05 06 02 BALADIKA HUSADA JEMBER,JL. PB SUDIRMAN NO.49 JEMBER LOR PATRANG,Kab. Jember,Jawa Timur,MEROPENEM TRIHYDRATE,MEROPENEM TRIHYDRATE,NOVELL PHARMACEUTICAL LABORATORIES,PENTA VALENT CABANG JEMBER,JAWA TIMUR,KAB. JEMBER,4.00E+27,2025-01-22,EHC020,5,"DUS, 1 VIAL @ 1 G",0000-00-00,MEROPENEM INJEKSI 1 GR @ 1 VIAL (OGB) / RUMKIT TK. III 05.06.02 BALADIKA HUSADA JEMBER / GKL1033523944A1,Lainnya,1
DALAM NEGERI,RSUD KOTA MADIUN,JL. CAMPURSARI NO. 12B SOGATEN KOTA MADIUN 63127,KOTA MADIUN,JAWA TIMUR,MEROPENEM BUFFERED WITH SODIUM CARBONATE,MEROPENEM,HEXPHARM JAYA LABORATORIES,ENSEVAL PUTERA MEGATRADING TBK CABANG KEDIRI,JAWA TIMUR,KAB. KEDIRI,@,2025-01-22,IMRPA41528,100,"DUS, 1 VIAL @ 1 G",2026-06-30 00:00:00,NAN,Rumah Sakit,1
DALAM NEGERI,RS ONKOLOGI SURABAYA,GALAXI BUMI PERMAI BLOK A-2/7 KEPUTIH SUKOLILO 60293,Kota Surabaya,Jawa Timur,MEROPENEM BUFFERED WITH SODIUM CARBONATE,MEROPENEM,HEXPHARM JAYA LABORATORIES,ENSEVAL PUTERA MEGATRADING TBK CABANG SIDOARJO,JAWA TIMUR,KAB. SIDOARJO,125010986,2025-01-22,IMRPA41533,5,"DUS, 1 VIAL @ 1 G",2026-07-31 00:00:00,NAN,Rumah Sakit,1
DALAM NEGERI,RS MEDIKA MULIA,JL. MOJOPAHIT NO. 699,Kota Surabaya,Jawa Timur,MEROPENEM BUFFERED WITH SODIUM CARBONATE,MEROSAN 1,SANBE FARMA (UNIT 2),BINA SAN PRIMA CABANG SURABAYA I,JAWA TIMUR,KOTA SURABAYA,FKSBY/202501/15668,2025-01-22,EF4722B,5,"DUS, 1 VIAL @ 1 G",2026-06-20 00:00:00,NAN,Rumah Sakit,1
DALAM NEGERI,RS YASMIN,JL. LETKOL ISTIQLAH NO. 80 - 84,Kab. Banyuwangi,Jawa Timur,MEROPENEM BUFFERED WITH SODIUM CARBONATE,MEROPENEM,BERNOFARM,PARIT PADANG GLOBAL CABANG JEMBER,JAWA TIMUR,KAB. JEMBER,8370295165,2025-01-22,PSE51853,2,"DUS, 10 VIAL @ 1 G",2026-04-30 00:00:00,NAN,Rumah Sakit,1
DALAM NEGERI,RS MEDIKA MULIA,JL. MOJOPAHIT NO. 699,Kota Surabaya,Jawa Timur,MEROPENEM BUFFERED WITH SODIUM CARBONATE,MEROSAN 1,SANBE FARMA (UNIT 2),BINA SAN PRIMA CABANG SURABAYA I,JAWA TIMUR,KOTA SURABAYA,FKSBY/202501/15667,2025-01-22,EF4722B,5,"DUS, 1 VIAL @ 1 G",2026-06-20 00:00:00,NAN,Rumah Sakit,1
DALAM NEGERI,RS PERMATA BUNDA,"JL. SOEKARNO HATTA NO.75 LOWOKWARU, KOTA MALANG 65142",KOTA MALANG,JAWA TIMUR,MEROPENEM BUFFERED WITH SODIUM CARBONATE,MEROPENEM,HEXPHARM JAYA LABORATORIES,ENSEVAL PUTERA MEGATRADING TBK CABANG MALANG,JAWA TIMUR,KAB. MALANG,125007385,2025-01-22,IMRPA41515,3,"DUS, 1 VIAL @ 1 G",2026-04-30 00:00:00,NAN,Rumah Sakit,1
DALAM NEGERI,RSUD UMAR MAS UD,"JL. PENDIDIKAN NO. 02 KEL. SAWAHMULYA KEC. SANGKAPURA, GRESIK (KAB) 61181, JAWA TIMUR",Kab. Gresik,Jawa Timur,MEROPENEM BUFFERED WITH SODIUM CARBONATE,MEROPENEM,BERNOFARM,ADYA ARTHA ABADI CABANG SIDOARJO,JAWA TIMUR,KAB. SIDOARJO,IVC/SBY/250101184,2025-01-22,PSG65953,5,"DUS, 10 VIAL @ 1 G",2026-06-30 00:00:00,NAN,Rumah Sakit,1
DALAM NEGERI,RSU BHAKTI PERSADA,JL. PASAR LEGI NO. 145 KEL. MANGGE KEC. BARAT KAB. MAGETAN 63395,MAGETAN,JAWA TIMUR,MEROPENEM BUFFERED WITH SODIUM CARBONATE,MEROPENEM,HEXPHARM JAYA LABORATORIES,ENSEVAL PUTERA MEGATRADING TBK CABANG KEDIRI,JAWA TIMUR,KAB. KEDIRI,@,2025-01-22,IMRPA41528,20,"DUS, 1 VIAL @ 1 G",2026-06-30 00:00:00,NAN,Rumah Sakit,1
DALAM NEGERI,RS ONKOLOGI SURABAYA,GALAXI BUMI PERMAI BLOK A-2/7 KEPUTIH SUKOLILO 60293,Kota Surabaya,Jawa Timur,MEROPENEM BUFFERED WITH SODIUM CARBONATE,MEROPENEM,HEXPHARM JAYA LABORATORIES,ENSEVAL PUTERA MEGATRADING TBK CABANG SIDOARJO,JAWA TIMUR,KAB. SIDOARJO,125011953,2025-01-23,IMRPA41533,3,"DUS, 1 VIAL @ 1 G",2026-07-31 00:00:00,NAN,Rumah Sakit,1
