jenis_transaksi,tujuan_penyaluran,alamat_tujuan,nama_kota_kab_tujuan,nama_provinsi_tujuan,nama_zat_aktif,nama_obat_jadi,produsen_obat_jadi,nama_pbf,provinsi,kabupaten_kota,no_faktur,tanggal_penyaluran,batch,jumlah,satuan,tanggal_kedaluwarsa,keterangan,jenis_sarana,kategori_obat,anomaly_label,anomaly_reason
Dalam Negeri,PT AMARIS NUSANTARA GEMILANG,JL. BOULEVARD FAMILI SELATAN KAV. 1 GRAHA FAMILI WIYUNG SURABAYA 60227,KOTA SURABAYA,JAWA TIMUR,MISOPROSTOL DISPERSION HPMC,INVITEC,DANKOS FARMA,ENSEVAL PUTERA MEGATRADING TBK CABANG SIDOARJO,Jawa Timur,Kab. Sidoarjo,126091600,2026-05-29,TIVTA50034,1.0,"DUS, 3 STRIP @ 10 TABLET",2028-02-29,,Lainnya,misoprostol,1,Normal
Dalam Negeri,PT AMARIS NUSANTARA GEMILANG,JL. BOULEVARD FAMILI SELATAN KAV. 1 GRAHA FAMILI WIYUNG SURABAYA 60227,KOTA SURABAYA,JAWA TIMUR,MISOPROSTOL DISPERSION HPMC,INVITEC,DANKOS FARMA,ENSEVAL PUTERA MEGATRADING TBK CABANG SIDOARJO,Jawa Timur,Kab. Sidoarjo,126091601,2026-05-29,TIVTA50034,2.0,"DUS, 3 STRIP @ 10 TABLET",2028-02-29,,Lainnya,misoprostol,1,Normal
Dalam Negeri,NATIONAL HOSPITAL,JL. BOULEVARD FAMILI SELATAN KAV.1 BABATAN WIYUNG SURABAYA 60213,KOTA SURABAYA,JAWA TIMUR,MISOPROSTOL DISPERSION HPMC,INVITEC,DANKOS FARMA,ENSEVAL PUTERA MEGATRADING TBK CABANG SIDOARJO,Jawa Timur,Kab. Sidoarjo,126067133,2026-04-20,TIVTA50034,2.0,"DUS, 3 STRIP @ 10 TABLET",2028-02-29,,Rumah Sakit,misoprostol,1,Normal
Dalam Negeri,NATIONAL HOSPITAL,JL. BOULEVARD FAMILI SELATAN KAV.1 BABATAN WIYUNG SURABAYA 60213,KOTA SURABAYA,JAWA TIMUR,MISOPROSTOL DISPERSION HPMC,INVITEC,DANKOS FARMA,ENSEVAL PUTERA MEGATRADING TBK CABANG SIDOARJO,Jawa Timur,Kab. Sidoarjo,126091305,2026-05-29,TIVTA50034,1.0,"DUS, 3 STRIP @ 10 TABLET",2028-02-29,,Rumah Sakit,misoprostol,1,Normal
Dalam Negeri,NATIONAL HOSPITAL,JL. BOULEVARD FAMILI SELATAN KAV.1 BABATAN WIYUNG SURABAYA 60213,KOTA SURABAYA,JAWA TIMUR,MISOPROSTOL DISPERSION HPMC,INVITEC,DANKOS FARMA,ENSEVAL PUTERA MEGATRADING TBK CABANG SIDOARJO,Jawa Timur,Kab. Sidoarjo,126002201,2026-01-06,TIVTA50033,1.0,"DUS, 3 STRIP @ 10 TABLET",2028-02-29,,Rumah Sakit,misoprostol,1,Normal
Dalam Negeri,NATIONAL HOSPITAL,JL. BOULEVARD FAMILI SELATAN KAV.1 BABATAN WIYUNG SURABAYA 60213,KOTA SURABAYA,JAWA TIMUR,MISOPROSTOL DISPERSION HPMC,INVITEC,DANKOS FARMA,ENSEVAL PUTERA MEGATRADING TBK CABANG SIDOARJO,Jawa Timur,Kab. Sidoarjo,126003961,2026-01-08,TIVTA50033,1.0,"DUS, 3 STRIP @ 10 TABLET",2028-02-29,,Rumah Sakit,misoprostol,1,Normal
Dalam Negeri,NATIONAL HOSPITAL,JL. BOULEVARD FAMILI SELATAN KAV.1 BABATAN WIYUNG SURABAYA 60213,KOTA SURABAYA,JAWA TIMUR,MISOPROSTOL DISPERSION HPMC,INVITEC,DANKOS FARMA,ENSEVAL PUTERA MEGATRADING TBK CABANG SIDOARJO,Jawa Timur,Kab. Sidoarjo,126006186,2026-01-13,TIVTA50033,2.0,"DUS, 3 STRIP @ 10 TABLET",2028-02-29,,Rumah Sakit,misoprostol,1,Normal
Dalam Negeri,NATIONAL HOSPITAL,JL. BOULEVARD FAMILI SELATAN KAV.1 BABATAN WIYUNG SURABAYA 60213,KOTA SURABAYA,JAWA TIMUR,MISOPROSTOL DISPERSION HPMC,INVITEC,DANKOS FARMA,ENSEVAL PUTERA MEGATRADING TBK CABANG SIDOARJO,Jawa Timur,Kab. Sidoarjo,126008071,2026-01-15,TIVTA50033,1.0,"DUS, 3 STRIP @ 10 TABLET",2028-02-29,,Rumah Sakit,misoprostol,1,Normal
Dalam Negeri,NATIONAL HOSPITAL,JL. BOULEVARD FAMILI SELATAN KAV.1 BABATAN WIYUNG SURABAYA 60213,KOTA SURABAYA,JAWA TIMUR,MISOPROSTOL DISPERSION HPMC,INVITEC,DANKOS FARMA,ENSEVAL PUTERA MEGATRADING TBK CABANG SIDOARJO,Jawa Timur,Kab. Sidoarjo,126010252,2026-01-20,TIVTA50033,1.0,"DUS, 3 STRIP @ 10 TABLET",2028-02-29,,Rumah Sakit,misoprostol,1,Normal
Dalam Negeri,NATIONAL HOSPITAL,JL. BOULEVARD FAMILI SELATAN KAV.1 BABATAN WIYUNG SURABAYA 60213,KOTA SURABAYA,JAWA TIMUR,MISOPROSTOL DISPERSION HPMC,INVITEC,DANKOS FARMA,ENSEVAL PUTERA MEGATRADING TBK CABANG SIDOARJO,Jawa Timur,Kab. Sidoarjo,126014743,2026-01-27,TIVTA50033,1.0,"DUS, 3 STRIP @ 10 TABLET",2028-02-29,,Rumah Sakit,misoprostol,1,Normal
