jenis_transaksi,tujuan_penyaluran,alamat_tujuan,nama_kota_kab_tujuan,nama_provinsi_tujuan,nama_zat_aktif,nama_obat_jadi,produsen_obat_jadi,nama_pbf,provinsi,kabupaten_kota,no_faktur,tanggal_penyaluran,batch,jumlah,satuan,tanggal_kedaluwarsa,keterangan,jenis_sarana,kategori_obat,anomaly_label,anomaly_reason
Dalam Negeri,RUMAH SAKIT IBU DAN ANAK AMANDA,"JL. MAYOR SUJADI NO.38, DS/KEL. JEPUN, KEC. TULUNGAGUNG",TULUNGAGUNG,JAWA TIMUR,"Microcrystalline Cellulose, MISOPROSTOL DISPERSION HPMC",SOPROS,ERLIMPEX,SELARAS KUSUMA CABANG MALANG,Jawa Timur,Kab. Malang,2026010397,2026-01-13,T38250011,4.0,"DUS, 3 STRIP @ 10 TABLET",2027-08-31,,Rumah Sakit,misoprostol,1,Normal
Recall,MPI GUDANG POOLING CAKUNG,-,DKI JAKARTA,,MISOPROSTOL DISPERSION HPMC,MISOPROSTOL,GUARDIAN PHARMATAMA,MILLENNIUM PHARMACON INTERNATIONAL TBK CABANG MALANG,Jawa Timur,Kab. Malang,RMLG/000810/26,2026-05-07,N2603043,30.0,"DUS, 3 STRIP @ 10 TABLET",2028-03-01,3172,pt,misoprostol,-1,"Provinsi tujuan kosong padahal kota diisi, Isolation Forest outlier (ML)"
Recall,MPI GUDANG POOLING CAKUNG,-,PT NULAB,0F0670,MISOPROSTOL DISPERSION HPMC,MISOPROSTOL,GUARDIAN PHARMATAMA,MILLENNIUM PHARMACON INTERNATIONAL TBK CABANG SURABAYA,Jawa Timur,Kota Surabaya,RSBY/000107/26,2026-01-15,N2511002,10.0,"DUS, 3 STRIP @ 10 TABLET",2027-11-01,,pt,misoprostol,1,Normal
Recall,MPI GUDANG POOLING CAKUNG,-,MALANG,JAWA TIMUR,MISOPROSTOL DISPERSION HPMC,MISOPROSTOL,GUARDIAN PHARMATAMA,MILLENNIUM PHARMACON INTERNATIONAL TBK CABANG JEMBER,Jawa Timur,Kab. Jember,RJBR/000190/26,2026-02-09,N2512024,20.0,"DUS, 3 STRIP @ 10 TABLET",2027-12-01,,pt,misoprostol,1,Normal
Dalam Negeri,,-,,,MISOPROSTOL DISPERSION HPMC,MISOPROSTOL,MAHAKAM BETA FARMA,MERAPI UTAMA PHARMA CABANG SIDOARJO II,Jawa Timur,Kab. Sidoarjo,-,2026-04-30,-,0.0,"Dus, 3 strip @ 10 tablet",,Transaksi Nihil,Lainnya,misoprostol,-1,"Jumlah distribusi tidak valid (≤0), Tujuan penyaluran kosong, Kota/Kab tujuan kosong, Isolation Forest outlier (ML)"
Dalam Negeri,,-,MALANG,JAWA TIMUR,MISOPROSTOL DISPERSION HPMC,MIPROS,MAHAKAM BETA FARMA,MERAPI UTAMA PHARMA CABANG MADIUN,Jawa Timur,Kota Madiun,-,2026-01-31,-,0.0,"Dus, 3 strip @ 10 tablet",,Transaksi Nihil,Lainnya,misoprostol,-1,"Jumlah distribusi tidak valid (≤0), Tujuan penyaluran kosong, Isolation Forest outlier (ML)"
Dalam Negeri,,-,MALANG,JAWA TIMUR,MISOPROSTOL DISPERSION HPMC,MIPROS,MAHAKAM BETA FARMA,MERAPI UTAMA PHARMA CABANG SIDOARJO,Jawa Timur,Kab. Sidoarjo,-,2026-01-31,-,0.0,"Dus, 3 strip @ 10 tablet",,Transaksi Nihil,Lainnya,misoprostol,-1,"Jumlah distribusi tidak valid (≤0), Tujuan penyaluran kosong, Isolation Forest outlier (ML)"
Dalam Negeri,,-,MALANG,JAWA TIMUR,MISOPROSTOL DISPERSION HPMC,MIPROS,MAHAKAM BETA FARMA,MERAPI UTAMA PHARMA CABANG SIDOARJO,Jawa Timur,Kab. Sidoarjo,-,2026-02-28,-,0.0,"Dus, 3 strip @ 10 tablet",,Transaksi Nihil,Lainnya,misoprostol,-1,"Jumlah distribusi tidak valid (≤0), Tujuan penyaluran kosong, Isolation Forest outlier (ML)"
Dalam Negeri,,-,MALANG,JAWA TIMUR,MISOPROSTOL DISPERSION HPMC,MIPROS,MAHAKAM BETA FARMA,MERAPI UTAMA PHARMA CABANG MADIUN,Jawa Timur,Kota Madiun,-,2026-02-28,-,0.0,"Dus, 3 strip @ 10 tablet",,Transaksi Nihil,Lainnya,misoprostol,-1,"Jumlah distribusi tidak valid (≤0), Tujuan penyaluran kosong, Isolation Forest outlier (ML)"
Dalam Negeri,,-,MALANG,JAWA TIMUR,MISOPROSTOL DISPERSION HPMC,MISOPROSTOL,GUARDIAN PHARMATAMA,MERAPI UTAMA PHARMA CABANG JEMBER,Jawa Timur,Kab. Jember,-,2026-02-28,-,0.0,"DUS, 3 STRIP @ 10 TABLET",,Transaksi Nihil,Lainnya,misoprostol,-1,"Jumlah distribusi tidak valid (≤0), Tujuan penyaluran kosong, Isolation Forest outlier (ML)"
Recall,MPI GUDANG POOLING CAKUNG,-,PT NULAB,0F0670,MISOPROSTOL DISPERSION HPMC,MISOPROSTOL,GUARDIAN PHARMATAMA,MILLENNIUM PHARMACON INTERNATIONAL TBK CABANG JEMBER,Jawa Timur,Kab. Jember,RJBR/000274/26,2026-03-12,N2601065.1,36.0,"DUS, 3 STRIP @ 10 TABLET",2028-02-01,,pt,misoprostol,-1,Isolation Forest outlier (ML)
Dalam Negeri,,-,MALANG,JAWA TIMUR,MISOPROSTOL DISPERSION HPMC,MISOPROSTOL,GUARDIAN PHARMATAMA,MERAPI UTAMA PHARMA CABANG JEMBER,Jawa Timur,Kab. Jember,-,2026-03-31,-,0.0,"DUS, 3 STRIP @ 10 TABLET",,Transaksi Nihil,Lainnya,misoprostol,-1,"Jumlah distribusi tidak valid (≤0), Tujuan penyaluran kosong, Isolation Forest outlier (ML)"
Dalam Negeri,,-,MALANG,JAWA TIMUR,MISOPROSTOL DISPERSION HPMC,PROSOMED,MEGA LIFESCIENCES INDONESIA,ANUGERAH PHARMINDO LESTARI CABANG SIDOARJO,Jawa Timur,Kab. Sidoarjo,-,2026-04-01,-,0.0,"DUS, 2 STRIP @ 10 TABLET",0000-00-00,Transaksi Nihil,Lainnya,misoprostol,-1,"Jumlah distribusi tidak valid (≤0), Tujuan penyaluran kosong, Isolation Forest outlier (ML)"
Dalam Negeri,,-,MALANG,JAWA TIMUR,MISOPROSTOL DISPERSION HPMC,MISOPROSTOL,MAHAKAM BETA FARMA,MERAPI UTAMA PHARMA CABANG SIDOARJO II,Jawa Timur,Kab. Sidoarjo,-,2026-01-31,-,0.0,"Dus, 3 strip @ 10 tablet",,Transaksi Nihil,Lainnya,misoprostol,-1,"Jumlah distribusi tidak valid (≤0), Tujuan penyaluran kosong, Isolation Forest outlier (ML)"
Recall,MPI GUDANG POOLING CAKUNG,-,MALANG,JAWA TIMUR,MISOPROSTOL DISPERSION HPMC,PROTECID,MEPROFARM,MILLENNIUM PHARMACON INTERNATIONAL TBK CABANG KEDIRI,Jawa Timur,Kab. Kediri,RKDR/000118/26,2026-01-27,A5H847,10.0,"DUS, 3 STRIP @ 10 TABLET",2027-08-30,,pt,misoprostol,1,Normal
Recall,MPI GUDANG POOLING CAKUNG,-,PT MEPROFARM,0J0800,MISOPROSTOL DISPERSION HPMC,PROTECID,MEPROFARM,MILLENNIUM PHARMACON INTERNATIONAL TBK CABANG JEMBER,Jawa Timur,Kab. Jember,RJBR/000268/26,2026-03-10,A5K171,5.0,"DUS, 3 STRIP @ 10 TABLET",2027-10-30,,pt,misoprostol,1,Normal
Recall,MPI GUDANG POOLING CAKUNG,-,MALANG,JAWA TIMUR,MISOPROSTOL DISPERSION HPMC,PROTECID,MEPROFARM,MILLENNIUM PHARMACON INTERNATIONAL TBK CABANG KEDIRI,Jawa Timur,Kab. Kediri,RKDR/000416/26,2026-04-30,A26C910,30.0,"DUS, 3 STRIP @ 10 TABLET",2028-03-31,,pt,misoprostol,-1,Isolation Forest outlier (ML)
Dalam Negeri,,-,MALANG,JAWA TIMUR,MISOPROSTOL DISPERSION HPMC,MIPROS,MAHAKAM BETA FARMA,MERAPI UTAMA PHARMA CABANG SIDOARJO,Jawa Timur,Kab. Sidoarjo,-,2026-03-31,-,0.0,"Dus, 3 strip @ 10 tablet",,Transaksi Nihil,Lainnya,misoprostol,-1,"Jumlah distribusi tidak valid (≤0), Tujuan penyaluran kosong, Isolation Forest outlier (ML)"
Dalam Negeri,,-,MALANG,JAWA TIMUR,MISOPROSTOL DISPERSION HPMC,MIPROS,MAHAKAM BETA FARMA,MERAPI UTAMA PHARMA CABANG MADIUN,Jawa Timur,Kota Madiun,-,2026-03-31,-,0.0,"Dus, 3 strip @ 10 tablet",,Transaksi Nihil,Lainnya,misoprostol,-1,"Jumlah distribusi tidak valid (≤0), Tujuan penyaluran kosong, Isolation Forest outlier (ML)"
Dalam Negeri,,-,MALANG,JAWA TIMUR,MISOPROSTOL DISPERSION HPMC,MIPROS,MAHAKAM BETA FARMA,MERAPI UTAMA PHARMA CABANG MADIUN,Jawa Timur,Kota Madiun,-,2026-04-30,-,0.0,"Dus, 3 strip @ 10 tablet",,Transaksi Nihil,Lainnya,misoprostol,-1,"Jumlah distribusi tidak valid (≤0), Tujuan penyaluran kosong, Isolation Forest outlier (ML)"
Dalam Negeri,,-,MALANG,JAWA TIMUR,MISOPROSTOL DISPERSION HPMC,MIPROS,MAHAKAM BETA FARMA,MERAPI UTAMA PHARMA CABANG SIDOARJO,Jawa Timur,Kab. Sidoarjo,-,2026-04-30,-,0.0,"Dus, 3 strip @ 10 tablet",,Transaksi Nihil,Lainnya,misoprostol,-1,"Jumlah distribusi tidak valid (≤0), Tujuan penyaluran kosong, Isolation Forest outlier (ML)"
Recall,MPI GUDANG POOLING CAKUNG,-,KOTA JAKARTA TIMUR,DKI JAKARTA,MISOPROSTOL DISPERSION HPMC,PROSTER,GUARDIAN PHARMATAMA,MILLENNIUM PHARMACON INTERNATIONAL TBK CABANG SIDOARJO,Jawa Timur,Kab. Sidoarjo,RSDO/000341/26,2026-02-13,N2508032,15.0,"DUS, 3 STRIP @ 10 TABLET",2027-08-31,,pt,misoprostol,1,Normal
Recall,MPI GUDANG POOLING CAKUNG,-,PT GUARDIAN PHARMATAMA,0R1600,MISOPROSTOL DISPERSION HPMC,PROSTER,GUARDIAN PHARMATAMA,MILLENNIUM PHARMACON INTERNATIONAL TBK CABANG SURABAYA,Jawa Timur,Kota Surabaya,RSBY/000373/26,2026-02-13,N2511028,5.0,"DUS, 3 STRIP @ 10 TABLET",2027-11-05,,pt,misoprostol,1,Normal
Dalam Negeri,RS YAS SITI AISYAH,0,,,MISOPROSTOL DISPERSION HPMC,MISOPROSTOL,MAHAKAM BETA FARMA,MERAPI UTAMA PHARMA CABANG MADIUN,Jawa Timur,Kota Madiun,2602201001053/SJ26022001128/260221001128,2026-01-29,IS25041,5.0,"Dus, 3 strip @ 10 tablet",2027-09-30,-,Rumah Sakit,misoprostol,-1,Kota/Kab tujuan kosong
Dalam Negeri,RS ISLAM YANI,"AHMAD YANI 2-4,SBY",KOTA SURABAYA,JAWA TIMUR,MISOPROSTOL DISPERSION HPMC,MISOPROSTOL,MAHAKAM BETA FARMA,DAYA MUDA AGUNG CABANG SIDOARJO,Jawa Timur,Kab. Sidoarjo,2609002433,2026-02-14,HS25059,3.0,"Dus, 3 strip @ 10 tablet",2027-08-30,,Rumah Sakit,misoprostol,1,Normal
Dalam Negeri,RS ISLAM YANI,"AHMAD YANI 2-4,SBY",KOTA SURABAYA,JAWA TIMUR,MISOPROSTOL DISPERSION HPMC,MISOPROSTOL,MAHAKAM BETA FARMA,DAYA MUDA AGUNG CABANG SIDOARJO,Jawa Timur,Kab. Sidoarjo,2609007569,2026-04-21,AS26058,3.0,"Dus, 3 strip @ 10 tablet",2028-01-30,,Rumah Sakit,misoprostol,1,Normal
Dalam Negeri,APOTEK KIMIA FARMA,AP KF BENDUL MERISI-JL BENDUL MERISI NO 53 SURABAYA,KOTA SURABAYA,JAWA TIMUR,MISOPROSTOL DISPERSION HPMC,INVITEC,DANKOS FARMA,ENSEVAL PUTERA MEGATRADING TBK CABANG SIDOARJO,Jawa Timur,Kab. Sidoarjo,126064721,2026-04-16,TIVTA50034,2.0,"DUS, 3 STRIP @ 10 TABLET",2028-02-29,,Apotek,misoprostol,1,Normal
Dalam Negeri,APOTEK DAWANG FARMA,APT. DAWANG FARMA JL. GAMBIRAN NO. 7 RT.07 RW.02 MOJOSARI. KEPANJEN,KEDIRI,JAWA TIMUR,MISOPROSTOL DISPERSION HPMC,MISOPROSTOL,NULAB PHARMACEUTICAL INDONESIA,PENTA VALENT CABANG MALANG,Jawa Timur,Kab. Malang,"4,00117E+14",2026-04-29,N2603044,1.0,"DUS, 3 STRIP @ 10 TABLET",2028-03-31,MISOPROSTOL 200 MCG TAB 3X10S(OGB-NULAB / APT. DAWANG FARMA / GKL1843000210A1,Apotek,misoprostol,1,Normal
Dalam Negeri,APOTEK DAWANG FARMA,APT. DAWANG FARMA JL. GAMBIRAN NO. 7 RT.07 RW.02 MOJOSARI. KEPANJEN,KEDIRI,JAWA TIMUR,MISOPROSTOL DISPERSION HPMC,MISOPROSTOL,NULAB PHARMACEUTICAL INDONESIA,PENTA VALENT CABANG MALANG,Jawa Timur,Kab. Malang,"4,00117E+14",2026-05-11,N2604032,1.0,"DUS, 3 STRIP @ 10 TABLET",2028-04-30,MISOPROSTOL 200 MCG TAB 3X10S(OGB-NULAB / APT. DAWANG FARMA / GKL1843000210A1,Apotek,misoprostol,1,Normal
Dalam Negeri,APOTEK DINAR FARMA,APT. DINAR FARMA JL. DR. WAHIDIN SUDIROHUSODO NO.212. PURWOREJO,GRESIK,JAWA TIMUR,MISOPROSTOL DISPERSION HPMC,PROSTER,GUARDIAN PHARMATAMA,PENTA VALENT CABANG MALANG,Jawa Timur,Kab. Malang,"4,00117E+14",2026-05-29,N2601044,1.0,"DUS, 3 STRIP @ 10 TABLET",2028-02-29,PROSTER TABLET 3X10S / APT. DINAR FARMA / DKL1108017210A1,Apotek,misoprostol,1,Normal
Dalam Negeri,APOTEK DWI PUTRA FARMA,APT. DWI PUTRA FARMA JL. WR. SUPRATMAN NO.5-B,GRESIK,JAWA TIMUR,MISOPROSTOL DISPERSION HPMC,PROSTER,GUARDIAN PHARMATAMA,PENTA VALENT CABANG MALANG,Jawa Timur,Kab. Malang,"4,00117E+14",2026-04-04,N2511028,1.0,"DUS, 3 STRIP @ 10 TABLET",2027-11-30,PROSTER TABLET 3X10S / APT DWI PUTRA FARMA / DKL1108017210A1,Apotek,misoprostol,1,Normal
Dalam Negeri,APOTEK DWI PUTRA FARMA,APT. DWI PUTRA FARMA JL. WR. SUPRATMAN NO.5-B,GRESIK,JAWA TIMUR,MISOPROSTOL DISPERSION HPMC,PROSTER,GUARDIAN PHARMATAMA,PENTA VALENT CABANG MALANG,Jawa Timur,Kab. Malang,"4,00117E+14",2026-04-30,N2511028,1.0,"DUS, 3 STRIP @ 10 TABLET",2027-11-30,PROSTER TABLET 3X10S / APT DWI PUTRA FARMA / DKL1108017210A1,Apotek,misoprostol,1,Normal
Dalam Negeri,APOTEK DWI PUTRA FARMA,APT. DWI PUTRA FARMA JL. WR. SUPRATMAN NO.5-B,GRESIK,JAWA TIMUR,MISOPROSTOL DISPERSION HPMC,PROSTER,GUARDIAN PHARMATAMA,PENTA VALENT CABANG MALANG,Jawa Timur,Kab. Malang,"4,00117E+14",2026-05-30,N2601044,2.0,"DUS, 3 STRIP @ 10 TABLET",2028-02-29,PROSTER TABLET 3X10S / APT DWI PUTRA FARMA / DKL1108017210A1,Apotek,misoprostol,1,Normal
Dalam Negeri,APOTEK DWI PUTRA FARMA,APT. DWI PUTRA FARMA JL. WR. SUPRATMAN NO.5-B,GRESIK,JAWA TIMUR,MISOPROSTOL DISPERSION HPMC,MISOPROSTOL,NULAB PHARMACEUTICAL INDONESIA,PENTA VALENT CABANG MALANG,Jawa Timur,Kab. Malang,"4,00117E+14",2026-05-13,N2604032,3.0,"DUS, 3 STRIP @ 10 TABLET",2028-04-30,MISOPROSTOL 200 MCG TAB 3X10S(OGB-NULAB / APT DWI PUTRA FARMA / GKL1843000210A1,Apotek,misoprostol,1,Normal
Dalam Negeri,APOTEK DWI PUTRA FARMA,APT. DWI PUTRA FARMA JL. WR. SUPRATMAN NO.5-B,GRESIK,JAWA TIMUR,MISOPROSTOL DISPERSION HPMC,PROSTER,GUARDIAN PHARMATAMA,PENTA VALENT CABANG MALANG,Jawa Timur,Kab. Malang,"4,00117E+14",2026-01-23,N2508032,1.0,"DUS, 3 STRIP @ 10 TABLET",2027-08-31,PROSTER TABLET 3X10S / APT DWI PUTRA FARMA / DKL1108017210A1,Apotek,misoprostol,1,Normal
Dalam Negeri,APOTEK PANORAMA FARMA,APT. PANORAMA FARMA PERUM BATU PANORAMA BLOK D2 NO. 40PESANGGRAHAN. BATU,SAMPANG,JAWA TIMUR,MISOPROSTOL DISPERSION HPMC,NEOPROST,GRACIA PHARMINDO,PENTA VALENT CABANG MALANG,Jawa Timur,Kab. Malang,"4,00117E+14",2026-05-26,RM014,1.0,"DUS, 3 STRIP @ 10 TABLET",2026-12-31,NEOPROST TABLET @3X10S / APT. PANORAMA FARMA / DKL2035310010A1,Apotek,misoprostol,1,Normal
Dalam Negeri,APOTEK RAJA SEHAT,APT. RAJA SEHAT JL. RAYA KREBET NO. 22 DESA KREBET KECAMATAN BULULAWANG,BANYUWANGI,JAWA TIMUR,MISOPROSTOL DISPERSION HPMC,NEOPROST,GRACIA PHARMINDO,PENTA VALENT CABANG MALANG,Jawa Timur,Kab. Malang,"4,00117E+14",2026-01-29,RM014,5.0,"DUS, 3 STRIP @ 10 TABLET",2026-12-31,NEOPROST TABLET @3X10S / APT. RAJA SEHAT / DKL2035310010A1,Apotek,misoprostol,1,Normal
Dalam Negeri,APOTEK RAJA SEHAT,APT. RAJA SEHAT JL. RAYA KREBET NO. 22 DESA KREBET KECAMATAN BULULAWANG,BANYUWANGI,JAWA TIMUR,MISOPROSTOL DISPERSION HPMC,NEOPROST,GRACIA PHARMINDO,PENTA VALENT CABANG MALANG,Jawa Timur,Kab. Malang,"4,00117E+14",2026-04-30,RM014,2.0,"DUS, 3 STRIP @ 10 TABLET",2026-12-31,NEOPROST TABLET @3X10S / APT. RAJA SEHAT / DKL2035310010A1,Apotek,misoprostol,1,Normal
Dalam Negeri,APOTEK RAJA SEHAT,APT. RAJA SEHAT JL. RAYA KREBET NO. 22 DESA KREBET KECAMATAN BULULAWANG,BANYUWANGI,JAWA TIMUR,MISOPROSTOL DISPERSION HPMC,NEOPROST,GRACIA PHARMINDO,PENTA VALENT CABANG MALANG,Jawa Timur,Kab. Malang,"4,00117E+14",2026-03-17,RM014,2.0,"DUS, 3 STRIP @ 10 TABLET",2026-12-31,NEOPROST TABLET @3X10S / APT. RAJA SEHAT / DKL2035310010A1,Apotek,misoprostol,1,Normal
Dalam Negeri,APOTEK YAP,APT. YAP JL. HAYAM WURUK NO.04,KOTA PASURUAN,JAWA TIMUR,MISOPROSTOL DISPERSION HPMC,MISOPROSTOL,NULAB PHARMACEUTICAL INDONESIA,PENTA VALENT CABANG MALANG,Jawa Timur,Kab. Malang,"4,00117E+14",2026-05-06,N2603044,5.0,"DUS, 3 STRIP @ 10 TABLET",2028-03-31,MISOPROSTOL 200 MCG TAB 3X10S(OGB-NULAB / APT. YAP / GKL1843000210A1,Apotek,misoprostol,1,Normal
Dalam Negeri,APOTEK YAP,APT. YAP JL. HAYAM WURUK NO.04,KOTA PASURUAN,JAWA TIMUR,MISOPROSTOL DISPERSION HPMC,MISOPROSTOL,NULAB PHARMACEUTICAL INDONESIA,PENTA VALENT CABANG MALANG,Jawa Timur,Kab. Malang,"4,00117E+14",2026-05-08,N2603044,3.0,"DUS, 3 STRIP @ 10 TABLET",2028-03-31,MISOPROSTOL 200 MCG TAB 3X10S(OGB-NULAB / APT. YAP / GKL1843000210A1,Apotek,misoprostol,1,Normal
Dalam Negeri,APOTEK YAP,APT. YAP JL. HAYAM WURUK NO.04,KOTA PASURUAN,JAWA TIMUR,MISOPROSTOL DISPERSION HPMC,MISOPROSTOL,NULAB PHARMACEUTICAL INDONESIA,PENTA VALENT CABANG MALANG,Jawa Timur,Kab. Malang,"4,00117E+14",2026-05-08,N2604032,2.0,"DUS, 3 STRIP @ 10 TABLET",2028-04-30,MISOPROSTOL 200 MCG TAB 3X10S(OGB-NULAB / APT. YAP / GKL1843000210A1,Apotek,misoprostol,1,Normal
Dalam Negeri,RS PUTRI,"ARIF RAHMAN HAKIM 122,SBY",KOTA SURABAYA,JAWA TIMUR,MISOPROSTOL DISPERSION HPMC,MISOPROSTOL,MAHAKAM BETA FARMA,DAYA MUDA AGUNG CABANG SIDOARJO,Jawa Timur,Kab. Sidoarjo,2609007386,2026-04-18,AS26058,1.0,"Dus, 3 strip @ 10 tablet",2028-01-30,,Rumah Sakit,misoprostol,1,Normal
Dalam Negeri,RS PUTRI,"ARIF RAHMAN HAKIM 122,SBY",KOTA SURABAYA,JAWA TIMUR,MISOPROSTOL DISPERSION HPMC,MISOPROSTOL,MAHAKAM BETA FARMA,DAYA MUDA AGUNG CABANG SIDOARJO,Jawa Timur,Kab. Sidoarjo,2609007577,2026-04-21,AS26058,1.0,"Dus, 3 strip @ 10 tablet",2028-01-30,,Rumah Sakit,misoprostol,1,Normal
Dalam Negeri,RS PUTRI,"ARIF RAHMAN HAKIM 122,SBY",KOTA SURABAYA,JAWA TIMUR,MISOPROSTOL DISPERSION HPMC,MISOPROSTOL,MAHAKAM BETA FARMA,DAYA MUDA AGUNG CABANG SIDOARJO,Jawa Timur,Kab. Sidoarjo,2609008648,2026-04-30,AS26058,1.0,"Dus, 3 strip @ 10 tablet",2028-01-30,,Rumah Sakit,misoprostol,1,Normal
Dalam Negeri,RS PUTRI,"ARIF RAHMAN HAKIM 122,SBY",KOTA SURABAYA,JAWA TIMUR,MISOPROSTOL DISPERSION HPMC,MISOPROSTOL,MAHAKAM BETA FARMA,DAYA MUDA AGUNG CABANG SIDOARJO,Jawa Timur,Kab. Sidoarjo,2609006569,2026-04-09,IS25042,1.0,"Dus, 3 strip @ 10 tablet",2027-09-30,,Rumah Sakit,misoprostol,1,Normal
Dalam Negeri,RS PUTRI,"ARIF RAHMAN HAKIM 122,SBY",KOTA SURABAYA,JAWA TIMUR,MISOPROSTOL DISPERSION HPMC,MISOPROSTOL,MAHAKAM BETA FARMA,DAYA MUDA AGUNG CABANG SIDOARJO,Jawa Timur,Kab. Sidoarjo,2609006787,2026-04-13,IS25042,1.0,"Dus, 3 strip @ 10 tablet",2027-09-30,,Rumah Sakit,misoprostol,1,Normal
Dalam Negeri,RS YAY RUMAH SAKIT BAPTIS KEDIRI,"B.POL IBH PRANOTO 1-7, JL",KEDIRI,JAWA TIMUR,MISOPROSTOL DISPERSION HPMC,GASTRUL,PRATAPA NIRMALA,PARIT PADANG GLOBAL CABANG MALANG,Jawa Timur,Kab. Malang,8320747558,2026-02-09,1ED167,1.0,"DUS, 3 STRIP @ 10 TABLET",2027-04-30,-,Rumah Sakit,misoprostol,1,Normal
Dalam Negeri,RS YAY RUMAH SAKIT BAPTIS KEDIRI,"B.POL IBH PRANOTO 1-7, JL",KEDIRI,JAWA TIMUR,MISOPROSTOL DISPERSION HPMC,GASTRUL,PRATAPA NIRMALA,PARIT PADANG GLOBAL CABANG MALANG,Jawa Timur,Kab. Malang,8320747558,2026-02-09,1EG100,1.0,"DUS, 3 STRIP @ 10 TABLET",2027-07-31,-,Rumah Sakit,misoprostol,1,Normal
Dalam Negeri,RS YAY RUMAH SAKIT BAPTIS KEDIRI,"B.POL IBH PRANOTO 1-7, JL",KEDIRI,JAWA TIMUR,MISOPROSTOL DISPERSION HPMC,GASTRUL,PRATAPA NIRMALA,PARIT PADANG GLOBAL CABANG MALANG,Jawa Timur,Kab. Malang,8320758871,2026-04-07,1EL012,5.0,"DUS, 3 STRIP @ 10 TABLET",2027-12-31,-,Rumah Sakit,misoprostol,1,Normal
Dalam Negeri,RSU BAKTI MULIA,BRAWIJAYA 46-47 MUNCAR BWI,BANYUWANGI,JAWA TIMUR,MISOPROSTOL DISPERSION HPMC,MIPROS,MAHAKAM BETA FARMA,DAYA MUDA AGUNG CABANG MALANG,Jawa Timur,Kab. Malang,2610004581,2026-04-08,HS25082,5.0,"Dus, 3 strip @ 10 tablet",2027-08-30,,Rumah Sakit,misoprostol,1,Normal
Dalam Negeri,PUSKESMAS KAUMAN,"DESA KAUMAN, KEL. KAUMAN WIDODAREN, KAB. NGAWI - JAWA TIMUR",NGAWI,JAWA TIMUR,MISOPROSTOL DISPERSION HPMC,MISOPROSTOL,GUARDIAN PHARMATAMA,MERAPI UTAMA PHARMA CABANG MADIUN,Jawa Timur,Kota Madiun,2602201004825/SJ26022005221/260221005221,2026-04-29,N2603043,1.0,"DUS, 3 STRIP @ 10 TABLET",2028-03-31,,Puskesmas,misoprostol,1,Normal
Dalam Negeri,PUSKESMAS KENDAL,"DESA KENDAL,KEL/KEC.KENDAL NGAWI-JAWA TIMUR",NGAWI,JAWA TIMUR,MISOPROSTOL DISPERSION HPMC,MISOPROSTOL,MAHAKAM BETA FARMA,MERAPI UTAMA PHARMA CABANG MADIUN,Jawa Timur,Kota Madiun,2602201003849/SJ26022004156/260221004156,2026-04-07,IS25042,4.0,"Dus, 3 strip @ 10 tablet",2027-09-30,,Puskesmas,misoprostol,1,Normal
Dalam Negeri,PUSKESMAS KENDAL,"DESA KENDAL,KEL/KEC.KENDAL NGAWI-JAWA TIMUR",NGAWI,JAWA TIMUR,MISOPROSTOL DISPERSION HPMC,MISOPROSTOL,GUARDIAN PHARMATAMA,MERAPI UTAMA PHARMA CABANG MADIUN,Jawa Timur,Kota Madiun,2602201000878/SJ26022000938/260221000938,2026-01-23,N2510080,3.0,"DUS, 3 STRIP @ 10 TABLET",2027-10-31,,Puskesmas,misoprostol,1,Normal
Dalam Negeri,APOTEK GALANG PUTRA FARMA,"DESA SUKOLILO BARAT, DSN JARAT LANJANG LABANG-BANGKALAN",BANGKALAN,JAWA TIMUR,"Microcrystalline Cellulose, MISOPROSTOL DISPERSION HPMC",SOPROS,ERLIMPEX,SELARAS KUSUMA CABANG SURABAYA,Jawa Timur,Kota Surabaya,2026010754,2026-01-19,T38250014,1.0,"DUS, 3 STRIP @ 10 TABLET",2027-09-30,,Apotek,misoprostol,1,Normal
Dalam Negeri,RS YASFIN DARUSSALAM GONTOR,DK GONTOR 2 RT : 002 RW :002 DS.GONTOR KEC.MLARAK KAB.PONOROGO,PONOROGO,JAWA TIMUR,MISOPROSTOL DISPERSION HPMC,MISOPROSTOL,MAHAKAM BETA FARMA,MERAPI UTAMA PHARMA CABANG MADIUN,Jawa Timur,Kota Madiun,2602201001146/SJ26022001227/260221001227,2026-01-30,IS25041,1.0,"Dus, 3 strip @ 10 tablet",2027-09-30,,Rumah Sakit,misoprostol,1,Normal
Dalam Negeri,RS YASFIN DARUSSALAM GONTOR,DK GONTOR 2 RT : 002 RW :002 DS.GONTOR KEC.MLARAK KAB.PONOROGO,PONOROGO,JAWA TIMUR,MISOPROSTOL DISPERSION HPMC,MISOPROSTOL,MAHAKAM BETA FARMA,MERAPI UTAMA PHARMA CABANG MADIUN,Jawa Timur,Kota Madiun,2602201001998/SJ26022002158/260221002158,2026-02-19,IS25041,2.0,"Dus, 3 strip @ 10 tablet",2027-09-30,,Rumah Sakit,misoprostol,1,Normal
